Ranking,Institucion,Puntuacion_Total,excel_lider,normalized_impact,normalized_impact_leadership,output,stp,lider,colab,q1,excel,ik,tech_impact,patents,open_access,not_own_journals_output,own_journals,overton,sdg,female_stp,AM
1,Universidad de Chile,100.0,819,1.08933,0.79547,18482,12806,9215,10666,9972,2416,203,1.19,50,65.55026512282221,18199,16,568,5892,4946,7593.3
2,Pontificia Universidad Catolica de Chile,91.91232336037412,801,1.20949,0.82179,16831,10828,8564,9923,9532,2399,176,1.15,115,65.58730913195889,16451,22,606,5901,4090,6927.799999999999
3,Universidad de Concepcion,47.10610170142739,326,1.1047,0.73267,8715,5430,4179,5271,4903,1078,85,1.04,89,62.84566838783706,8559,9,250,3142,2029,3637.3
4,"Universidad Andres Bello, Chile",31.49037933431975,188,1.08571,0.79091,6310,2913,2333,3946,3181,808,52,0.88,7,67.51188589540412,6293,1,96,1799,1095,2633.3
5,Universidad de Santiago de Chile,29.81260997419669,260,0.90826,0.68239,5668,3200,2942,3148,2840,649,67,1.28,52,61.13267466478476,5668,0,110,1683,1000,2288.8
6,Universidad Austral de Chile,26.788997686814863,172,0.94005,0.72837,4999,2886,2425,3006,2669,545,32,0.68,17,66.19323864772954,4871,7,137,1874,1112,2206.6
7,Pontificia Universidad Catolica de Valparaiso,26.25031395100571,260,0.91052,0.76834,5052,2539,2535,2837,2367,616,42,0.9,13,67.79493269992082,4945,6,93,1538,967,2084.4
8,Universidad de la Frontera,22.366244598470853,180,1.05995,0.71336,4205,2340,2194,2541,1864,481,35,0.9,20,68.03804994054697,3925,2,106,1529,910,1805.5
9,Universidad Tecnica Federico Santa Maria,20.164179271287797,158,1.13835,0.80393,4058,1638,1731,2823,2164,614,54,1.39,82,61.45884672252341,4058,0,32,912,321,1388.3
10,Universidad Autonoma de Chile,18.109778914204867,121,1.11963,0.79087,3577,1074,1200,2566,1827,511,53,1.59,8,69.13614760972881,3577,0,101,1247,433,1753.6999999999998
11,Universidad de Talca,17.13407750129799,157,0.99632,0.82138,3238,1464,1676,1901,1677,415,40,1.35,9,64.17541692402718,3186,4,76,1213,472,1294.6
12,Universidad Catolica del Norte,16.942127755447977,135,0.9726,0.79329,3240,1447,1499,2177,1741,381,16,0.53,13,63.61111111111112,3217,2,100,1093,479,1405.3
13,Universidad de Valparaiso,16.802578059825855,92,0.91488,0.58198,3248,1952,1487,1842,1628,379,18,0.6,16,74.32266009852216,3236,2,67,889,772,1333.9
14,Universidad Catolica del Maule,14.574530657386022,95,0.86628,0.7046,2815,1244,1351,1705,1004,267,16,0.62,10,71.22557726465364,2815,0,50,1072,458,1281.0
15,Universidad de Tarapaca,14.239085752059744,136,1.34698,0.83065,2859,914,1301,1996,1482,475,15,0.56,7,66.91150752011193,2716,4,30,772,292,1056.3
