Ranking,Institucion,Puntuacion_Total,excel_lider,normalized_impact,normalized_impact_leadership,output,stp,lider,colab,q1,excel,ik,tech_impact,patents,open_access,not_own_journals_output,own_journals,overton,sdg,female_stp,AM
1,Universidad de Chile,100.0,100.0,72.02991410604828,0.79547,100.0,100.0,100.0,100.0,100.0,100.0,100.0,26.15384615384616,43.47826086956522,65.55026512282221,100.0,72.72727272727273,93.72937293729372,99.84748347737673,100.0,100.0
2,Pontificia Universidad Catolica de Chile,91.91232336037412,97.8021978021978,79.9752699476966,0.82179,91.06650073047994,84.5529090199141,92.93543136190992,93.03393962122632,95.58764540714,99.29635761589404,86.69950738916256,25.274725274725277,100.0,65.58730913195889,90.39454885152216,100.0,100.0,100.0,82.6930853214719,91.23534834716185
3,Universidad de Concepcion,47.10610170142739,39.804639804639805,73.04622668332969,0.73267,47.15112818570424,42.39750097618118,45.34997287032013,49.41871366960435,49.16766947452868,44.61920529801324,41.87192118226601,22.857142857142858,77.39130434782608,62.84566838783706,47.02714584020222,40.909090909090914,41.254125412541256,53.245212675817655,41.023048928427016,47.89938100882391
4,"Universidad Andres Bello, Chile",31.49037933431975,22.954822954822955,71.79054835915441,0.79091,34.13776310805692,22.74111675126904,25.3174172544764,36.99606225389086,31.899318090653832,33.443708609271525,25.615763546798032,19.340659340659343,6.086956521739131,67.51188589540412,34.57522804703814,4.545454545454546,15.84158415841584,30.486358244365363,22.139102304892845,34.67667588568418
5,Universidad de Santiago de Chile,29.81260997419669,31.746031746031743,60.05699814193992,0.68239,30.663925112277475,24.982428738773915,31.926207270754205,29.51434464654041,28.479743281187325,26.86258278145696,33.004926108374384,28.13186813186813,45.21739130434783,61.13267466478476,31.14078470161557,0.0,18.151815181518156,28.520589730554143,20.21835826930853,30.139602265244303
6,Universidad Austral de Chile,26.788997686814863,21.001221001221,62.15905258772887,0.72837,27.04399112602132,22.530261616556032,26.31578947368421,28.18301143821489,26.764941837144,22.557947019867548,15.763546798029555,14.945054945054949,14.782608695652174,66.19323864772954,26.761182547532695,31.818181818181817,22.607260726072607,31.757329266226066,22.482814395471088,29.05702620834979
7,Pontificia Universidad Catolica de Valparaiso,26.25031395100571,31.746031746031743,60.20643642591234,0.76834,27.330772144364484,19.820382663022254,27.509495387954424,26.59853740858804,23.736462093862816,25.496688741721854,20.689655172413797,19.78021978021978,11.304347826086955,67.79493269992082,27.16782063963073,27.27272727272727,15.346534653465346,26.063379088290123,19.551152446421348,27.447649150533376
8,Universidad de la Frontera,22.366244598470853,21.978021978021975,70.08721641440691,0.71336,22.74768681348412,18.26630222569309,23.80900705371677,23.82336396024752,18.692338547934213,19.908940397350992,17.24137931034483,19.78021978021978,17.391304347826086,68.03804994054697,21.562809099901088,9.090909090909092,17.491749174917494,25.91086256566684,18.39870602507076,23.774529171605423
9,Universidad Tecnica Federico Santa Maria,20.164179271287797,19.29181929181929,75.27127015929062,0.80393,21.95227530977761,12.784068723155018,18.78459034183397,26.467279204950312,21.70076213397513,25.41390728476821,26.60098522167488,30.549450549450547,71.30434782608695,61.45884672252341,22.293658643807014,0.0,5.2805280528052805,15.45500762582613,6.490093004448038,18.27999473198999
10,Universidad Autonoma de Chile,18.109778914204867,14.774114774114777,74.03344508143064,0.79087,19.349602294248147,8.379539242483405,13.022246337493218,24.0577536096006,18.32129963898917,21.150662251655632,26.108374384236456,34.94505494505495,6.956521739130435,69.13614760972881,19.6505110451698,0.0,16.666666666666664,21.1320115234706,8.754549130610595,23.09232187541156
