fuente,universidad,anio_dato,ventana,variable,valor,unidad,definicion,url,fecha_descarga,metodo
anid,Pontificia Universidad Catolica de Chile,2015,,montos_anid_anillos_cyt,2150000000,CLP,Adjudicado en el instrumento ANILLOS CYT,https://raw.githubusercontent.com/ANID-GITHUB/Historico-de-Proyectos-Adjudicados/master/BDH_HISTORICA.csv,2026-09-25T05:05:34+00:00,requests
anid,Pontificia Universidad Catolica de Chile,2015,,montos_anid_anillos_de_investigacion_en_ciencias_y_tecnologia,2150000000,CLP,Adjudicado en el instrumento ANILLOS DE INVESTIGACION EN CIENCIAS Y TECNOLOGIA,https://raw.githubusercontent.com/ANID-GITHUB/Historico-de-Proyectos-Adjudicados/master/BDH_HISTORICA.csv,2026-09-25T05:05:34+00:00,requests
anid,Pontificia Universidad Catolica de Chile,2015,,montos_anid_concurso_nacional_de_proyectos_de_investigacion_y_desarrollo_en_salud,59201000,CLP,Adjudicado en el instrumento CONCURSO NACIONAL DE PROYECTOS DE INVESTIGACION Y DESARROLLO EN SALUD,https://raw.githubusercontent.com/ANID-GITHUB/Historico-de-Proyectos-Adjudicados/master/BDH_HISTORICA.csv,2026-09-25T05:05:34+00:00,requests
anid,Pontificia Universidad Catolica de Chile,2015,,montos_anid_equipamiento_mediano,1971818000,CLP,Adjudicado en el instrumento EQUIPAMIENTO MEDIANO,https://raw.githubusercontent.com/ANID-GITHUB/Historico-de-Proyectos-Adjudicados/master/BDH_HISTORICA.csv,2026-09-25T05:05:34+00:00,requests
anid,Pontificia Universidad Catolica de Chile,2015,,montos_anid_fondo_quimal,200000000,CLP,Adjudicado en el instrumento FONDO QUIMAL,https://raw.githubusercontent.com/ANID-GITHUB/Historico-de-Proyectos-Adjudicados/master/BDH_HISTORICA.csv,2026-09-25T05:05:34+00:00,requests
anid,Pontificia Universidad Catolica de Chile,2015,,montos_anid_fprc,25745000,CLP,Adjudicado en el instrumento FPRC,https://raw.githubusercontent.com/ANID-GITHUB/Historico-de-Proyectos-Adjudicados/master/BDH_HISTORICA.csv,2026-09-25T05:05:34+00:00,requests
anid,Pontificia Universidad Catolica de Chile,2015,,montos_anid_idea_en_dos_etapas,1487261000,CLP,Adjudicado en el instrumento IDEA EN DOS ETAPAS,https://raw.githubusercontent.com/ANID-GITHUB/Historico-de-Proyectos-Adjudicados/master/BDH_HISTORICA.csv,2026-09-25T05:05:34+00:00,requests
anid,Pontificia Universidad Catolica de Chile,2015,,montos_anid_iniciacion,2838096000,CLP,Adjudicado en el instrumento INICIACION,https://raw.githubusercontent.com/ANID-GITHUB/Historico-de-Proyectos-Adjudicados/master/BDH_HISTORICA.csv,2026-09-25T05:05:34+00:00,requests
anid,Pontificia Universidad Catolica de Chile,2015,,montos_anid_insercion_investigadores_en_la_academia,230880000,CLP,Adjudicado en el instrumento INSERCION INVESTIGADORES EN LA ACADEMIA,https://raw.githubusercontent.com/ANID-GITHUB/Historico-de-Proyectos-Adjudicados/master/BDH_HISTORICA.csv,2026-09-25T05:05:34+00:00,requests
anid,Pontificia Universidad Catolica de Chile,2015,,montos_anid_investigacion_conjunta_-_proyectos_de_investigacion_conjunta_conicyt_chile_-_bmbf_alemania,148559000,CLP,Adjudicado en el instrumento INVESTIGACION CONJUNTA - PROYECTOS DE INVESTIGACION CONJUNTA CONICYT CHILE - BMBF ALEMANIA,https://raw.githubusercontent.com/ANID-GITHUB/Historico-de-Proyectos-Adjudicados/master/BDH_HISTORICA.csv,2026-09-25T05:05:34+00:00,requests
