universidad,ventana,publicaciones_scopus,publicaciones_openalex,factor_openalex_scopus
Pontificia Universidad Catolica de Chile,2018-2022,16419,21166,1.289
Pontificia Universidad Catolica de Chile,2019-2023,16831,21737,1.291
Pontificia Universidad Catolica de Valparaiso,2018-2022,4910,5810,1.183
Pontificia Universidad Catolica de Valparaiso,2019-2023,5052,6074,1.202
Universidad ARCIS,2018-2022,8,78,9.75
Universidad ARCIS,2019-2023,6,79,13.167
Universidad Academia de Humanismo Cristiano,2018-2022,238,574,2.412
Universidad Academia de Humanismo Cristiano,2019-2023,220,519,2.359
Universidad Adolfo Ibanez,2018-2022,2303,2992,1.299
Universidad Adolfo Ibanez,2019-2023,2649,3427,1.294
Universidad Adventista de Chile,2018-2022,244,420,1.721
Universidad Adventista de Chile,2019-2023,287,503,1.753
Universidad Alberto Hurtado,2018-2022,999,2050,2.052
Universidad Alberto Hurtado,2019-2023,1112,2201,1.979
Universidad Andres Bello,2018-2022,5655,6036,1.067
Universidad Andres Bello,2019-2023,6310,6756,1.071
Universidad Arturo Prat,2018-2022,774,1056,1.364
Universidad Arturo Prat,2019-2023,816,1105,1.354
Universidad Austral de Chile,2018-2022,4878,5969,1.224
Universidad Austral de Chile,2019-2023,4999,6275,1.255
Universidad Autonoma de Chile,2018-2022,3349,4159,1.242
Universidad Autonoma de Chile,2019-2023,3577,4437,1.24
Universidad Bernardo O'Higgins,2018-2022,1203,2043,1.698
Universidad Bernardo O'Higgins,2019-2023,1392,2338,1.68
Universidad Bolivariana de Chile,2018-2022,6,11,1.833
Universidad Bolivariana de Chile,2019-2023,8,14,1.75
Universidad Catolica Cardenal Raul Silva Henriquez,2018-2022,327,702,2.147
Universidad Catolica Cardenal Raul Silva Henriquez,2019-2023,422,775,1.836
Universidad Catolica de Temuco,2018-2022,1611,2226,1.382
Universidad Catolica de Temuco,2019-2023,1796,2499,1.391
Universidad Catolica de la Santisima Concepcion,2018-2022,1986,2702,1.361
Universidad Catolica de la Santisima Concepcion,2019-2023,2194,3009,1.371
Universidad Catolica del Maule,2018-2022,2365,3095,1.309
Universidad Catolica del Maule,2019-2023,2815,3593,1.276
Universidad Catolica del Norte,2018-2022,3013,3912,1.298
Universidad Catolica del Norte,2019-2023,3240,4053,1.251
Universidad Central de Chile,2018-2022,612,828,1.353
Universidad Central de Chile,2019-2023,668,937,1.403
Universidad Diego Portales,2018-2022,2373,3529,1.487
Universidad Diego Portales,2019-2023,2538,3673,1.447
Universidad Finis Terrae,2018-2022,705,1048,1.487
Universidad Finis Terrae,2019-2023,824,1220,1.481
Universidad Gabriela Mistral,2018-2022,59,133,2.254
Universidad Gabriela Mistral,2019-2023,59,146,2.475
Universidad Iberoamericana de Ciencias y Tecnologia,2018-2022,4,24,6.0
Universidad Iberoamericana de Ciencias y Tecnologia,2019-2023,2,25,12.5
Universidad Internacional SEK Chile,2018-2022,108,160,1.481
Universidad Internacional SEK Chile,2019-2023,126,178,1.413
Universidad La Republica,2018-2022,9,1167,129.667
Universidad La Republica,2019-2023,6,1228,204.667
Universidad Los Leones,2018-2022,1,5,5.0
Universidad Los Leones,2019-2023,1,2,2.0
Universidad Mayor,2018-2022,2217,2865,1.292
Universidad Mayor,2019-2023,2334,2972,1.273
Universidad Metropolitana de Ciencias de la Educacion,2018-2022,492,771,1.567
Universidad Metropolitana de Ciencias de la Educacion,2019-2023,567,843,1.487
Universidad Miguel de Cervantes,2018-2022,21,106,5.048
Universidad Miguel de Cervantes,2019-2023,26,120,4.615
Universidad Pedro de Valdivia,2018-2022,56,207,3.696
Universidad Pedro de Valdivia,2019-2023,54,209,3.87
Universidad San Sebastian,2018-2022,1729,2347,1.357
Universidad San Sebastian,2019-2023,2175,2958,1.36
Universidad Santo Tomas,2018-2022,1339,1597,1.193
Universidad Santo Tomas,2019-2023,1539,1740,1.131
Universidad Tecnica Federico Santa Maria,2018-2022,3943,4039,1.024
Universidad Tecnica Federico Santa Maria,2019-2023,4058,4283,1.055
Universidad Tecnologica Metropolitana,2018-2022,833,1063,1.276
Universidad Tecnologica Metropolitana,2019-2023,954,1227,1.286
Universidad Tecnologica de Chile,2018-2022,225,221,0.982
Universidad Tecnologica de Chile,2019-2023,168,160,0.952
Universidad de Antofagasta,2018-2022,1825,2276,1.247
Universidad de Antofagasta,2019-2023,1867,2334,1.25
Universidad de Atacama,2018-2022,1072,1349,1.258
Universidad de Atacama,2019-2023,1156,1507,1.304
Universidad de Chile,2018-2022,18338,24325,1.326
Universidad de Chile,2019-2023,18482,24625,1.332
Universidad de Concepcion,2018-2022,8509,10177,1.196
Universidad de Concepcion,2019-2023,8715,10559,1.212
Universidad de La Serena,2018-2022,1240,1696,1.368
Universidad de La Serena,2019-2023,1345,1807,1.343
Universidad de Las Americas,2018-2022,811,1040,1.282
Universidad de Las Americas,2019-2023,1112,1434,1.29
Universidad de Los Lagos,2018-2022,1257,1727,1.374
Universidad de Los Lagos,2019-2023,1294,1810,1.399
Universidad de Magallanes,2018-2022,837,1243,1.485
Universidad de Magallanes,2019-2023,871,1325,1.521
Universidad de Playa Ancha,2018-2022,840,1108,1.319
Universidad de Playa Ancha,2019-2023,818,1110,1.357
Universidad de Santiago de Chile,2018-2022,5431,8048,1.482
Universidad de Santiago de Chile,2019-2023,5668,8280,1.461
Universidad de Talca,2018-2022,3043,4031,1.325
Universidad de Talca,2019-2023,3238,4186,1.293
Universidad de Tarapaca,2018-2022,2361,2630,1.114
Universidad de Tarapaca,2019-2023,2859,3237,1.132
Universidad de Valparaiso,2018-2022,3172,3878,1.223
Universidad de Valparaiso,2019-2023,3248,3996,1.23
Universidad de la Frontera,2018-2022,3909,4972,1.272
Universidad de la Frontera,2019-2023,4205,5420,1.289
Universidad de los Andes,2018-2022,1898,2560,1.349
Universidad de los Andes,2019-2023,2027,2676,1.32
Universidad del Bio-Bio,2018-2022,2195,2736,1.246
Universidad del Bio-Bio,2019-2023,2324,2893,1.245
Universidad del Desarrollo,2018-2022,2264,3152,1.392
Universidad del Desarrollo,2019-2023,2455,3361,1.369
Universidad del Mar,2018-2022,8,250,31.25
Universidad del Mar,2019-2023,9,263,29.222
Universidad del Pacifico,2018-2022,2,16,8.0
Universidad del Pacifico,2019-2023,2,13,6.5
