fuente,universidad,anio_dato,ventana,variable,valor,unidad,definicion,url,fecha_descarga,metodo
openalex,Pontificia Universidad Catolica de Chile,2022,2018-2022,publicaciones_openalex,21166,trabajos,Trabajos con al menos un autor de la institución,"https://api.openalex.org/works?filter=institutions.id:I162148367,publication_year:2018-2022",2026-09-25T14:29:14+00:00,api
openalex,Pontificia Universidad Catolica de Chile,2022,2018-2022,publicaciones_openalex_article,17288,trabajos,Trabajos de tipo «article»,"https://api.openalex.org/works?filter=institutions.id:I162148367,publication_year:2018-2022",2026-09-25T14:29:14+00:00,api
openalex,Pontificia Universidad Catolica de Chile,2022,2018-2022,publicaciones_openalex_book,65,trabajos,Trabajos de tipo «book»,"https://api.openalex.org/works?filter=institutions.id:I162148367,publication_year:2018-2022",2026-09-25T14:29:14+00:00,api
openalex,Pontificia Universidad Catolica de Chile,2022,2018-2022,publicaciones_openalex_book-chapter,758,trabajos,Trabajos de tipo «book-chapter»,"https://api.openalex.org/works?filter=institutions.id:I162148367,publication_year:2018-2022",2026-09-25T14:29:14+00:00,api
openalex,Pontificia Universidad Catolica de Chile,2022,2018-2022,publicaciones_openalex_book-review,100,trabajos,Trabajos de tipo «book-review»,"https://api.openalex.org/works?filter=institutions.id:I162148367,publication_year:2018-2022",2026-09-25T14:29:14+00:00,api
openalex,Pontificia Universidad Catolica de Chile,2022,2018-2022,publicaciones_openalex_conference-abstract,292,trabajos,Trabajos de tipo «conference-abstract»,"https://api.openalex.org/works?filter=institutions.id:I162148367,publication_year:2018-2022",2026-09-25T14:29:14+00:00,api
openalex,Pontificia Universidad Catolica de Chile,2022,2018-2022,publicaciones_openalex_conference-paper,613,trabajos,Trabajos de tipo «conference-paper»,"https://api.openalex.org/works?filter=institutions.id:I162148367,publication_year:2018-2022",2026-09-25T14:29:14+00:00,api
openalex,Pontificia Universidad Catolica de Chile,2022,2018-2022,publicaciones_openalex_data-paper,14,trabajos,Trabajos de tipo «data-paper»,"https://api.openalex.org/works?filter=institutions.id:I162148367,publication_year:2018-2022",2026-09-25T14:29:14+00:00,api
openalex,Pontificia Universidad Catolica de Chile,2022,2018-2022,publicaciones_openalex_dataset,292,trabajos,Trabajos de tipo «dataset»,"https://api.openalex.org/works?filter=institutions.id:I162148367,publication_year:2018-2022",2026-09-25T14:29:14+00:00,api
openalex,Pontificia Universidad Catolica de Chile,2022,2018-2022,publicaciones_openalex_dissertation,7,trabajos,Trabajos de tipo «dissertation»,"https://api.openalex.org/works?filter=institutions.id:I162148367,publication_year:2018-2022",2026-09-25T14:29:14+00:00,api
openalex,Pontificia Universidad Catolica de Chile,2022,2018-2022,publicaciones_openalex_editorial,103,trabajos,Trabajos de tipo «editorial»,"https://api.openalex.org/works?filter=institutions.id:I162148367,publication_year:2018-2022",2026-09-25T14:29:14+00:00,api
openalex,Pontificia Universidad Catolica de Chile,2022,2018-2022,publicaciones_openalex_erratum,147,trabajos,Trabajos de tipo «erratum»,"https://api.openalex.org/works?filter=institutions.id:I162148367,publication_year:2018-2022",2026-09-25T14:29:14+00:00,api
openalex,Pontificia Universidad Catolica de Chile,2022,2018-2022,publicaciones_openalex_letter,20,trabajos,Trabajos de tipo «letter»,"https://api.openalex.org/works?filter=institutions.id:I162148367,publication_year:2018-2022",2026-09-25T14:29:14+00:00,api
openalex,Pontificia Universidad Catolica de Chile,2022,2018-2022,publicaciones_openalex_other,52,trabajos,Trabajos de tipo «other»,"https://api.openalex.org/works?filter=institutions.id:I162148367,publication_year:2018-2022",2026-09-25T14:29:14+00:00,api
