fuente,universidad,anio_dato,ventana,variable,valor,unidad,definicion,url,fecha_descarga,metodo
qs,Pontificia Universidad Catolica de Chile,2024,,qs_puntaje_reputacion_academica_latam,100.0,puntaje 0-100,"Encuesta de reputación académica · QS latam 2024, puntaje normalizado",KAI/QS/DatosQS/QS LATAM/2024 QS LATAM Rankings Results v1.0 (For qs.com).xlsx,2026-09-25T04:18:50+00:00,archivo del repositorio
qs,Pontificia Universidad Catolica de Chile,2024,,qs_puntaje_reputacion_empleadores_latam,100.0,puntaje 0-100,"Encuesta de reputación entre empleadores · QS latam 2024, puntaje normalizado",KAI/QS/DatosQS/QS LATAM/2024 QS LATAM Rankings Results v1.0 (For qs.com).xlsx,2026-09-25T04:18:50+00:00,archivo del repositorio
qs,Pontificia Universidad Catolica de Chile,2024,,qs_puntaje_ratio_academicos_latam,49.4,puntaje 0-100,"Razón de académicos por estudiante · QS latam 2024, puntaje normalizado",KAI/QS/DatosQS/QS LATAM/2024 QS LATAM Rankings Results v1.0 (For qs.com).xlsx,2026-09-25T04:18:50+00:00,archivo del repositorio
qs,Pontificia Universidad Catolica de Chile,2024,,qs_puntaje_articulos_por_academico_latam,96.9,puntaje 0-100,"Artículos por académico · QS latam 2024, puntaje normalizado",KAI/QS/DatosQS/QS LATAM/2024 QS LATAM Rankings Results v1.0 (For qs.com).xlsx,2026-09-25T04:18:50+00:00,archivo del repositorio
qs,Pontificia Universidad Catolica de Chile,2024,,qs_puntaje_citas_por_articulo_latam,87.0,puntaje 0-100,"Citas por artículo · QS latam 2024, puntaje normalizado",KAI/QS/DatosQS/QS LATAM/2024 QS LATAM Rankings Results v1.0 (For qs.com).xlsx,2026-09-25T04:18:50+00:00,archivo del repositorio
qs,Pontificia Universidad Catolica de Chile,2024,,qs_puntaje_academicos_con_doctorado_latam,91.9,puntaje 0-100,"Proporción de académicos con doctorado · QS latam 2024, puntaje normalizado",KAI/QS/DatosQS/QS LATAM/2024 QS LATAM Rankings Results v1.0 (For qs.com).xlsx,2026-09-25T04:18:50+00:00,archivo del repositorio
qs,Pontificia Universidad Catolica de Chile,2024,,qs_puntaje_red_internacional_latam,99.9,puntaje 0-100,"Red internacional de investigación · QS latam 2024, puntaje normalizado",KAI/QS/DatosQS/QS LATAM/2024 QS LATAM Rankings Results v1.0 (For qs.com).xlsx,2026-09-25T04:18:50+00:00,archivo del repositorio
qs,Pontificia Universidad Catolica de Chile,2024,,qs_puntaje_impacto_web_latam,83.7,puntaje 0-100,"Impacto web, derivado de Webometrics · QS latam 2024, puntaje normalizado",KAI/QS/DatosQS/QS LATAM/2024 QS LATAM Rankings Results v1.0 (For qs.com).xlsx,2026-09-25T04:18:50+00:00,archivo del repositorio
qs,Pontificia Universidad Catolica de Chile,2024,,qs_puntaje_global_latam,99.1,puntaje 0-100,"Puntaje global de la edición · QS latam 2024, puntaje normalizado",KAI/QS/DatosQS/QS LATAM/2024 QS LATAM Rankings Results v1.0 (For qs.com).xlsx,2026-09-25T04:18:50+00:00,archivo del repositorio
qs,Universidad de Chile,2024,,qs_puntaje_reputacion_academica_latam,100.0,puntaje 0-100,"Encuesta de reputación académica · QS latam 2024, puntaje normalizado",KAI/QS/DatosQS/QS LATAM/2024 QS LATAM Rankings Results v1.0 (For qs.com).xlsx,2026-09-25T04:18:50+00:00,archivo del repositorio
qs,Universidad de Chile,2024,,qs_puntaje_reputacion_empleadores_latam,100.0,puntaje 0-100,"Encuesta de reputación entre empleadores · QS latam 2024, puntaje normalizado",KAI/QS/DatosQS/QS LATAM/2024 QS LATAM Rankings Results v1.0 (For qs.com).xlsx,2026-09-25T04:18:50+00:00,archivo del repositorio
qs,Universidad de Chile,2024,,qs_puntaje_ratio_academicos_latam,24.6,puntaje 0-100,"Razón de académicos por estudiante · QS latam 2024, puntaje normalizado",KAI/QS/DatosQS/QS LATAM/2024 QS LATAM Rankings Results v1.0 (For qs.com).xlsx,2026-09-25T04:18:50+00:00,archivo del repositorio
qs,Universidad de Chile,2024,,qs_puntaje_articulos_por_academico_latam,98.4,puntaje 0-100,"Artículos por académico · QS latam 2024, puntaje normalizado",KAI/QS/DatosQS/QS LATAM/2024 QS LATAM Rankings Results v1.0 (For qs.com).xlsx,2026-09-25T04:18:50+00:00,archivo del repositorio
qs,Universidad de Chile,2024,,qs_puntaje_citas_por_articulo_latam,83.1,puntaje 0-100,"Citas por artículo · QS latam 2024, puntaje normalizado",KAI/QS/DatosQS/QS LATAM/2024 QS LATAM Rankings Results v1.0 (For qs.com).xlsx,2026-09-25T04:18:50+00:00,archivo del repositorio
qs,Universidad de Chile,2024,,qs_puntaje_academicos_con_doctorado_latam,73.7,puntaje 0-100,"Proporción de académicos con doctorado · QS latam 2024, puntaje normalizado",KAI/QS/DatosQS/QS LATAM/2024 QS LATAM Rankings Results v1.0 (For qs.com).xlsx,2026-09-25T04:18:50+00:00,archivo del repositorio
qs,Universidad de Chile,2024,,qs_puntaje_red_internacional_latam,99.8,puntaje 0-100,"Red internacional de investigación · QS latam 2024, puntaje normalizado",KAI/QS/DatosQS/QS LATAM/2024 QS LATAM Rankings Results v1.0 (For qs.com).xlsx,2026-09-25T04:18:50+00:00,archivo del repositorio
qs,Universidad de Chile,2024,,qs_puntaje_impacto_web_latam,99.2,puntaje 0-100,"Impacto web, derivado de Webometrics · QS latam 2024, puntaje normalizado",KAI/QS/DatosQS/QS LATAM/2024 QS LATAM Rankings Results v1.0 (For qs.com).xlsx,2026-09-25T04:18:50+00:00,archivo del repositorio
qs,Universidad de Chile,2024,,qs_puntaje_global_latam,94.9,puntaje 0-100,"Puntaje global de la edición · QS latam 2024, puntaje normalizado",KAI/QS/DatosQS/QS LATAM/2024 QS LATAM Rankings Results v1.0 (For qs.com).xlsx,2026-09-25T04:18:50+00:00,archivo del repositorio
qs,Universidad de Concepcion,2024,,qs_puntaje_reputacion_academica_latam,80.7,puntaje 0-100,"Encuesta de reputación académica · QS latam 2024, puntaje normalizado",KAI/QS/DatosQS/QS LATAM/2024 QS LATAM Rankings Results v1.0 (For qs.com).xlsx,2026-09-25T04:18:50+00:00,archivo del repositorio
qs,Universidad de Concepcion,2024,,qs_puntaje_reputacion_empleadores_latam,84.9,puntaje 0-100,"Encuesta de reputación entre empleadores · QS latam 2024, puntaje normalizado",KAI/QS/DatosQS/QS LATAM/2024 QS LATAM Rankings Results v1.0 (For qs.com).xlsx,2026-09-25T04:18:50+00:00,archivo del repositorio
