fuente,universidad,anio_dato,ventana,variable,valor,unidad,definicion,url,fecha_descarga,metodo
scimago,Pontificia Universidad Catolica de Chile,2018,2014-2018,publicaciones_scopus,13160.0,documentos,Documentos publicados en revistas indizadas en Scopus en la ventana,https://www.scimagoiber.com/institution.php?id=1150,2026-09-25T04:08:10+00:00,requests
scimago,Pontificia Universidad Catolica de Chile,2018,2014-2018,docs_top10_scimago,2147.0,documentos,Documentos en el 10 % más citado de su área (Excellence),https://www.scimagoiber.com/institution.php?id=1150,2026-09-25T04:08:10+00:00,requests
scimago,Pontificia Universidad Catolica de Chile,2018,2014-2018,docs_top10_liderados,713.0,documentos,Documentos del 10 % más citado en los que la institución es líder,https://www.scimagoiber.com/institution.php?id=1150,2026-09-25T04:08:10+00:00,requests
scimago,Pontificia Universidad Catolica de Chile,2018,2014-2018,impacto_normalizado,1.34073,razón,Impacto normalizado: citas respecto del promedio mundial de su área,https://www.scimagoiber.com/institution.php?id=1150,2026-09-25T04:08:10+00:00,requests
scimago,Pontificia Universidad Catolica de Chile,2018,2014-2018,impacto_normalizado_liderado,0.82,razón,Impacto normalizado de la producción liderada,https://www.scimagoiber.com/institution.php?id=1150,2026-09-25T04:08:10+00:00,requests
scimago,Pontificia Universidad Catolica de Chile,2018,2014-2018,docs_colaboracion_internacional,7533.0,documentos,Documentos con coautoría de otra institución extranjera,https://www.scimagoiber.com/institution.php?id=1150,2026-09-25T04:08:10+00:00,requests
scimago,Pontificia Universidad Catolica de Chile,2018,2014-2018,docs_liderados,7249.0,documentos,Documentos en los que el autor de correspondencia pertenece a la institución,https://www.scimagoiber.com/institution.php?id=1150,2026-09-25T04:08:10+00:00,requests
scimago,Pontificia Universidad Catolica de Chile,2018,2014-2018,docs_q1,6999.0,documentos,Documentos publicados en revistas del primer cuartil,https://www.scimagoiber.com/institution.php?id=1150,2026-09-25T04:08:10+00:00,requests
scimago,Pontificia Universidad Catolica de Chile,2018,2014-2018,conocimiento_innovador,474.0,documentos,Producción citada en patentes (Innovative Knowledge),https://www.scimagoiber.com/institution.php?id=1150,2026-09-25T04:08:10+00:00,requests
scimago,Pontificia Universidad Catolica de Chile,2018,2014-2018,patentes,160.0,patentes,Solicitudes de patente de la institución,https://www.scimagoiber.com/institution.php?id=1150,2026-09-25T04:08:10+00:00,requests
scimago,Pontificia Universidad Catolica de Chile,2018,2014-2018,pct_acceso_abierto,61.641337386018236,%,Porcentaje de producción en acceso abierto,https://www.scimagoiber.com/institution.php?id=1150,2026-09-25T04:08:10+00:00,requests
scimago,Pontificia Universidad Catolica de Chile,2018,2014-2018,docs_alta_calidad,8376.0,documentos,Documentos en revistas de alto impacto (STP),https://www.scimagoiber.com/institution.php?id=1150,2026-09-25T04:08:10+00:00,requests
scimago,Pontificia Universidad Catolica de Chile,2018,2014-2018,lecturas_mendeley,12433.0,lecturas,Lecturas registradas en Mendeley,https://www.scimagoiber.com/institution.php?id=1150,2026-09-25T04:08:10+00:00,requests
scimago,Pontificia Universidad Catolica de Chile,2018,2014-2018,autoras,3093.0,autoras,Autoras en la producción de alta calidad,https://www.scimagoiber.com/institution.php?id=1150,2026-09-25T04:08:10+00:00,requests
scimago,Pontificia Universidad Catolica de Chile,2019,2015-2019,publicaciones_scopus,13811.0,documentos,Documentos publicados en revistas indizadas en Scopus en la ventana,https://www.scimagoiber.com/institution.php?id=1150,2026-09-25T04:08:10+00:00,requests
scimago,Pontificia Universidad Catolica de Chile,2019,2015-2019,docs_top10_scimago,2233.0,documentos,Documentos en el 10 % más citado de su área (Excellence),https://www.scimagoiber.com/institution.php?id=1150,2026-09-25T04:08:10+00:00,requests
scimago,Pontificia Universidad Catolica de Chile,2019,2015-2019,docs_top10_liderados,745.0,documentos,Documentos del 10 % más citado en los que la institución es líder,https://www.scimagoiber.com/institution.php?id=1150,2026-09-25T04:08:10+00:00,requests
scimago,Pontificia Universidad Catolica de Chile,2019,2015-2019,impacto_normalizado,1.33939,razón,Impacto normalizado: citas respecto del promedio mundial de su área,https://www.scimagoiber.com/institution.php?id=1150,2026-09-25T04:08:10+00:00,requests
