fuente,universidad,anio_dato,ventana,variable,valor,unidad,definicion,url,fecha_descarga,metodo
scimago,Universidad de Chile,2024,2020-2024,scimago_posicion_nacional,1.0,posición,Posición entre las instituciones chilenas del ranking Scimago,https://www.scimagoir.com/getdata.php?ranking=Overall&area=&sector=&country=CHL&year=2026&top=0&format=csv&type=download,2026-09-25T04:49:07+00:00,selenium_cdp + requests
scimago,Universidad de Chile,2024,2020-2024,scimago_posicion_mundial,1113.0,posición,Posición mundial en el ranking Scimago,https://www.scimagoir.com/getdata.php?ranking=Overall&area=&sector=&country=CHL&year=2026&top=0&format=csv&type=download,2026-09-25T04:49:07+00:00,selenium_cdp + requests
scimago,Universidad de Chile,2024,2020-2024,scimago_mejor_cuartil,1.0,cuartil,Mejor cuartil alcanzado por la institución en el país,https://www.scimagoir.com/getdata.php?ranking=Overall&area=&sector=&country=CHL&year=2026&top=0&format=csv&type=download,2026-09-25T04:49:07+00:00,selenium_cdp + requests
scimago,Pontificia Universidad Catolica de Chile,2024,2020-2024,scimago_posicion_nacional,2.0,posición,Posición entre las instituciones chilenas del ranking Scimago,https://www.scimagoir.com/getdata.php?ranking=Overall&area=&sector=&country=CHL&year=2026&top=0&format=csv&type=download,2026-09-25T04:49:07+00:00,selenium_cdp + requests
scimago,Pontificia Universidad Catolica de Chile,2024,2020-2024,scimago_posicion_mundial,1171.0,posición,Posición mundial en el ranking Scimago,https://www.scimagoir.com/getdata.php?ranking=Overall&area=&sector=&country=CHL&year=2026&top=0&format=csv&type=download,2026-09-25T04:49:07+00:00,selenium_cdp + requests
scimago,Pontificia Universidad Catolica de Chile,2024,2020-2024,scimago_mejor_cuartil,1.0,cuartil,Mejor cuartil alcanzado por la institución en el país,https://www.scimagoir.com/getdata.php?ranking=Overall&area=&sector=&country=CHL&year=2026&top=0&format=csv&type=download,2026-09-25T04:49:07+00:00,selenium_cdp + requests
scimago,Universidad de Concepcion,2024,2020-2024,scimago_posicion_nacional,3.0,posición,Posición entre las instituciones chilenas del ranking Scimago,https://www.scimagoir.com/getdata.php?ranking=Overall&area=&sector=&country=CHL&year=2026&top=0&format=csv&type=download,2026-09-25T04:49:07+00:00,selenium_cdp + requests
scimago,Universidad de Concepcion,2024,2020-2024,scimago_posicion_mundial,3154.0,posición,Posición mundial en el ranking Scimago,https://www.scimagoir.com/getdata.php?ranking=Overall&area=&sector=&country=CHL&year=2026&top=0&format=csv&type=download,2026-09-25T04:49:07+00:00,selenium_cdp + requests
scimago,Universidad de Concepcion,2024,2020-2024,scimago_mejor_cuartil,1.0,cuartil,Mejor cuartil alcanzado por la institución en el país,https://www.scimagoir.com/getdata.php?ranking=Overall&area=&sector=&country=CHL&year=2026&top=0&format=csv&type=download,2026-09-25T04:49:07+00:00,selenium_cdp + requests
scimago,Pontificia Universidad Catolica de Valparaiso,2024,2020-2024,scimago_posicion_nacional,5.0,posición,Posición entre las instituciones chilenas del ranking Scimago,https://www.scimagoir.com/getdata.php?ranking=Overall&area=&sector=&country=CHL&year=2026&top=0&format=csv&type=download,2026-09-25T04:49:07+00:00,selenium_cdp + requests
scimago,Pontificia Universidad Catolica de Valparaiso,2024,2020-2024,scimago_posicion_mundial,3946.0,posición,Posición mundial en el ranking Scimago,https://www.scimagoir.com/getdata.php?ranking=Overall&area=&sector=&country=CHL&year=2026&top=0&format=csv&type=download,2026-09-25T04:49:07+00:00,selenium_cdp + requests
scimago,Pontificia Universidad Catolica de Valparaiso,2024,2020-2024,scimago_mejor_cuartil,1.0,cuartil,Mejor cuartil alcanzado por la institución en el país,https://www.scimagoir.com/getdata.php?ranking=Overall&area=&sector=&country=CHL&year=2026&top=0&format=csv&type=download,2026-09-25T04:49:07+00:00,selenium_cdp + requests
scimago,Universidad Andres Bello,2024,2020-2024,scimago_posicion_nacional,6.0,posición,Posición entre las instituciones chilenas del ranking Scimago,https://www.scimagoir.com/getdata.php?ranking=Overall&area=&sector=&country=CHL&year=2026&top=0&format=csv&type=download,2026-09-25T04:49:07+00:00,selenium_cdp + requests
