fuente,universidad,anio_dato,ventana,variable,valor,unidad,definicion,url,fecha_descarga,metodo
sies,Universidad Gabriela Mistral,2025,,academicos_total,657.0,personas,Personas con función académica declaradas por la institución,https://mifuturo.cl/wp-content/uploads/2025/12/PAC_web_2008_2025_SIES_EE.xlsx,2026-09-25T04:31:34+00:00,requests
sies,Universidad Gabriela Mistral,2025,,academicos_doctorado,113.0,personas,Personas cuyo grado académico máximo es doctor,https://mifuturo.cl/wp-content/uploads/2025/12/PAC_web_2008_2025_SIES_EE.xlsx,2026-09-25T04:31:34+00:00,requests
sies,Universidad Gabriela Mistral,2025,,academicos_extranjeros,61.0,personas,Personas de nacionalidad distinta de la chilena,https://mifuturo.cl/wp-content/uploads/2025/12/PAC_web_2008_2025_SIES_EE.xlsx,2026-09-25T04:31:34+00:00,requests
sies,Universidad Finis Terrae,2025,,academicos_total,1069.0,personas,Personas con función académica declaradas por la institución,https://mifuturo.cl/wp-content/uploads/2025/12/PAC_web_2008_2025_SIES_EE.xlsx,2026-09-25T04:31:34+00:00,requests
sies,Universidad Finis Terrae,2025,,academicos_doctorado,219.0,personas,Personas cuyo grado académico máximo es doctor,https://mifuturo.cl/wp-content/uploads/2025/12/PAC_web_2008_2025_SIES_EE.xlsx,2026-09-25T04:31:34+00:00,requests
sies,Universidad Finis Terrae,2025,,academicos_extranjeros,69.0,personas,Personas de nacionalidad distinta de la chilena,https://mifuturo.cl/wp-content/uploads/2025/12/PAC_web_2008_2025_SIES_EE.xlsx,2026-09-25T04:31:34+00:00,requests
sies,Universidad Diego Portales,2025,,academicos_total,2767.0,personas,Personas con función académica declaradas por la institución,https://mifuturo.cl/wp-content/uploads/2025/12/PAC_web_2008_2025_SIES_EE.xlsx,2026-09-25T04:31:34+00:00,requests
sies,Universidad Diego Portales,2025,,academicos_doctorado,469.0,personas,Personas cuyo grado académico máximo es doctor,https://mifuturo.cl/wp-content/uploads/2025/12/PAC_web_2008_2025_SIES_EE.xlsx,2026-09-25T04:31:34+00:00,requests
sies,Universidad Diego Portales,2025,,academicos_extranjeros,241.0,personas,Personas de nacionalidad distinta de la chilena,https://mifuturo.cl/wp-content/uploads/2025/12/PAC_web_2008_2025_SIES_EE.xlsx,2026-09-25T04:31:34+00:00,requests
sies,Universidad Central de Chile,2025,,academicos_total,1307.0,personas,Personas con función académica declaradas por la institución,https://mifuturo.cl/wp-content/uploads/2025/12/PAC_web_2008_2025_SIES_EE.xlsx,2026-09-25T04:31:34+00:00,requests
