universidad,anio,academicos_doctorado,academicos_extranjeros,academicos_jce,academicos_jce_doctorado,academicos_jce_extranjeros,academicos_total,estudiantes_doctorado,estudiantes_fte,estudiantes_magister,estudiantes_posgrado,estudiantes_pregrado,estudiantes_primer_anio,estudiantes_total,graduados_doctorado,graduados_magister,montos_anid_adjudicados,montos_anid_con_industria,pct_estudiantes_extranjeros,proyectos_anid_adjudicados,qs_puntaje_academicos_con_doctorado_latam,qs_puntaje_academicos_internacionales_global,qs_puntaje_articulos_por_academico_latam,qs_puntaje_citas_por_academico_global,qs_puntaje_citas_por_articulo_latam,qs_puntaje_diversidad_internacional_global,qs_puntaje_empleabilidad_global,qs_puntaje_estudiantes_internacionales_global,qs_puntaje_estudiantes_internacionales_latam,qs_puntaje_global_global,qs_puntaje_global_latam,qs_puntaje_impacto_web_latam,qs_puntaje_ratio_academicos_global,qs_puntaje_ratio_academicos_latam,qs_puntaje_red_internacional_global,qs_puntaje_red_internacional_latam,qs_puntaje_reputacion_academica_global,qs_puntaje_reputacion_academica_latam,qs_puntaje_reputacion_empleadores_global,qs_puntaje_reputacion_empleadores_latam,qs_puntaje_sostenibilidad_global,ratio_estudiantes_academico,the_posicion_latam,the_posicion_wur,the_puntaje_global_latam,the_puntaje_global_wur,the_puntaje_industry_latam,the_puntaje_industry_wur,the_puntaje_international_outlook_latam,the_puntaje_international_outlook_wur,the_puntaje_research_environment_latam,the_puntaje_research_environment_wur,the_puntaje_research_quality_latam,the_puntaje_research_quality_wur,the_puntaje_teaching_latam,the_puntaje_teaching_wur,titulados_especialidad_medica,titulados_pregrado,titulados_pregrado_total
Pontificia Universidad Catolica de Chile,2015,1135.0,224.0,2081.84,942.86,172.11,3209.0,1050,,3136,4186,25458,6727,30271,113.0,1012.0,29851795000,1923123000,,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.0,2653.0,2653.0
Pontificia Universidad Catolica de Chile,2016,1210.0,256.0,2197.05,1008.2,201.61,3373.0,1193,25075.0,3755,4948,26979,7079,32876,150.0,1226.0,34233610000,2123488000,7.0,320,,,,,,,,,,,,,,,,,,,,,,15.3,3,401-500,80.2,0.0,38.3,28.0,90.4,52.4,83.6,21.3,93.2,37.0,70.6,28.2,215.0,2818.0,2818.0
Pontificia Universidad Catolica de Chile,2017,1255.0,270.0,2237.0,1035.59,210.84,3483.0,1120,26188.0,3189,4309,26786,7134,31882,135.0,1284.0,29873510000,2023624000,7.0,289,,,,,,,,,,,,,,,,,,,,,,15.6,3,401-500,85.7,,44.7,35.7,89.5,53.2,94.0,23.0,95.0,41.8,74.7,27.5,212.0,3410.0,3410.0
Pontificia Universidad Catolica de Chile,2018,1280.0,265.0,2242.84,1059.68,211.84,3480.0,1169,27065.0,3160,4329,26579,14600,39154,140.0,1340.0,31039296000,2006325000,7.0,261,,,,,,,,,,,,,,,,,,,,,,15.4,3,501–600,85.7,,54.9,35.8,91.8,53.9,96.0,25.1,95.0,42.5,71.6,25.9,218.0,3118.0,3118.0
Pontificia Universidad Catolica de Chile,2019,1314.0,252.0,2257.05,1083.8,212.41,3510.0,1202,27485.0,3411,4613,27921,12745,38672,142.0,1123.0,29603054000,2080109000,7.0,266,,,,,,,,,,,,,,,,,,,,,,15.2,1,601–800,88.6,,98.9,39.0,92.3,56.9,99.8,24.0,89.7,44.0,76.0,25.5,269.0,2963.0,2963.0
Pontificia Universidad Catolica de Chile,2020,1330.0,270.0,2274.97,1102.41,227.94,3540.0,1257,28541.0,3300,4557,29212,10554,37745,147.0,946.0,24025133000,1662897000,7.0,229,,,,,,,,,,,,,,,,,,,,,,15.0,1,501–600,89.7,,100.0,64.5,91.6,57.1,99.9,28.3,90.1,48.6,78.6,24.2,237.0,2839.0,2839.0
Pontificia Universidad Catolica de Chile,2021,1338.0,267.0,2260.36,1121.47,221.59,3549.0,1359,29071.0,3634,4993,31180,15710,44887,177.0,1772.0,43968335000,3534283000,7.0,210,,,,,,,,,,,,,,,,,,,,,,15.1,1,501–600,90.3,,99.4,77.0,93.1,57.8,99.8,30.5,95.3,55.4,77.4,25.1,232.0,4548.0,4548.0
Pontificia Universidad Catolica de Chile,2022,1344.0,275.0,2262.56,1120.42,224.04,3558.0,1385,29756.0,3852,5237,30636,13987,42912,179.0,1782.0,40094113000,10489120000,7.0,237,,,,,,,,,,,,,,,,,,,,,,15.3,1,401–500,90.5,,100.0,73.0,87.2,58.2,99.9,30.3,97.5,66.4,77.9,24.8,308.0,4492.0,4492.0
Pontificia Universidad Catolica de Chile,2023,1368.0,284.0,2263.03,1132.02,227.0,3631.0,1405,31578.0,3769,5174,31859,13544,43251,144.0,1475.0,43049911000,12275301000,4.0,249,,,,,,,,,,,,,,,,,,,,,,16.0,1,401–500,90.3,,99.4,70.3,84.2,56.2,99.8,31.9,95.5,66.2,79.0,24.2,293.0,4119.0,4119.0
Pontificia Universidad Catolica de Chile,2024,1447.0,307.0,2319.4,1198.9,243.65,3795.0,1444,30448.0,4493,5937,32846,24086,54940,229.0,1878.0,39953278000,3030948000,3.0,259,91.9,16.4,96.9,11.6,87.0,,76.3,3.5,,59.9,99.1,83.7,20.6,49.4,56.8,99.9,92.9,100.0,99.5,100.0,91.3,15.0,4,401–500,82.5,,74.1,84.7,58.8,57.9,96.5,34.3,88.1,67.6,72.1,29.7,294.0,4655.0,4655.0
