Index,Rank,Previous Rank,Name,Country/Territory,Region,Size,Focus,Research,Status,AR SCORE,AR RANK,ER SCORE,ER RANK,FSR SCORE,FSR RANK,CPF SCORE,CPF RANK,IFR SCORE,IFR RANK,ISR SCORE,ISR RANK,ISD SCORE,ISD RANK,IRN SCORE,IRN RANK,EO SCORE,EO RANK,SUS SCORE,SUS RANK,Overall SCORE
116,116,93,Pontificia Universidad Católica de Chile,Chile,Americas,L,FC,VH,Private not for Profit,98.0,36,98.6,29,35.1,562,14.2,801+,42.0,482,7.8,801+,11.9,801+,81.2,328,99.9,13,80.0,169=,66.1
175,173,139,Universidad de Chile,Chile,Americas,XL,FC,VH,Public,91.9,61,92.0,63,10.9,801+,18.2,747,12.2,801+,8.1,801+,13.1,801+,77.9,384,97.6,50,69.5,321=,59.1
490,490,461,Universidad de Santiago de Chile - USACH,Chile,Americas,L,FC,HI,Public,50.4,222,59.9,193,11.4,801+,7.8,801+,10.6,801+,3.8,801+,8.0,801+,53.9,783,17.5,772,53.7,627=,32.7
579,578,576,Universidad Adolfo Ibáñez,Chile,Americas,M,SP,VH,Private not for Profit,28.7,433,63.3,170,7.6,801+,9.1,801+,46.4,460,8.0,801+,11.7,801+,34.4,801+,60.7,267,40.0,801+,29
617,613,631-640,Universidad de Concepción,Chile,Americas,L,FC,HI,Private not for Profit,36.8,325,34.0,422,20.2,801+,12.3,801+,14.5,801+,2.6,801+,6.9,801+,64.1,634,16.9,786,69.5,321=,27.8
803,791-800,801-850,Pontificia Universidad Católica de Valparaíso,Chile,Americas,L,CO,VH,Private not for Profit,36.4,332,29.0,487,6.8,801+,13.2,801+,15.1,801+,2.6,801+,2.2,801+,43.3,801+,12.2,801+,36.9,801+,-
934,901-950,951-1000,Universidad de los Andes Chile,Chile,Americas,M,FC,HI,Private not for Profit,25.3,504,36.5,392,13.4,801+,4.7,801+,15.1,801+,3.5,801+,7.7,801+,17.9,801+,45.2,388,28.9,801+,-
1112,1001-1200,1001-1200,Universidad Andrés Bello - UNAB,Chile,Americas,XL,FC,HI,Private not for Profit,19.5,633,16.4,701+,11.1,801+,3.9,801+,9.6,801+,3.8,801+,8.2,801+,60.9,680,2.5,801+,56.9,559,-
1114,1001-1200,1001-1200,Universidad Austral de Chile,Chile,Americas,L,FC,HI,Private not for Profit,19.3,638,15.4,701+,4.1,801+,14.3,801+,20.5,703,2.5,801+,6.8,801+,45.8,801+,4.8,801+,44.0,801+,-
1121,1001-1200,1001-1200,Universidad de Talca,Chile,Americas,M,FO,VH,Public,14.4,701+,11.7,701+,9.1,801+,13.2,801+,27.4,619,1.9,801+,1.7,801+,46.4,801+,2.5,801+,29.4,801+,-
1123,1001-1200,1001-1200,Universidad Diego Portales,Chile,Americas,L,FO,VH,Private not for Profit,19.0,647,25.8,526,11.9,801+,5.5,801+,17.5,758,6.3,801+,4.9,801+,37.1,801+,8.8,801+,36.4,801+,-
1131,1001-1200,951-1000,Universidad Técnica Federico Santa María,Chile,Americas,L,FO,VH,Private not for Profit,13.3,701+,37.5,374,4.7,801+,8.3,801+,19.0,728,1.8,801+,1.6,801+,46.3,801+,17.7,767,42.7,801+,-
1321,1201-1400,1201-1400,Universidad Católica del Norte,Chile,Americas,M,FC,HI,Private not for Profit,5.7,701+,5.0,701+,10.9,801+,9.3,801+,21.9,688,8.5,801+,6.5,801+,45.0,801+,2.5,801+,53.0,646=,-
1324,1201-1400,1001-1200,Universidad de la Frontera (UFRO),Chile,Americas,M,CO,VH,Public,14.4,701+,7.5,701+,6.5,801+,19.2,726,3.1,801+,1.7,801+,1.5,801+,44.0,801+,2.7,801+,32.3,801+,-
1329,1201-1400,1201-1400,Universidad de Valparaíso,Chile,Americas,L,FC,HI,Public,15.5,701+,8.4,701+,12.8,801+,5.0,801+,8.6,801+,2.9,801+,2.4,801+,34.3,801+,4.8,801+,39.7,801+,-
1330,1201-1400,1201-1400,Universidad del Desarrollo,Chile,Americas,L,CO,HI,Private not for Profit,11.8,701+,15.7,701+,15.7,801+,4.0,801+,10.6,801+,3.3,801+,7.6,801+,18.3,801+,6.8,801+,47.5,774=,-
1468,1401+,1401+,Universidad Autónoma de Chile,Chile,Americas,XL,FO,VH,Private not for Profit,7.9,701+,4.7,701+,6.2,801+,6.2,801+,15.6,792,1.7,801+,1.5,801+,38.9,801+,2.5,801+,35.9,801+,-
1469,1401+,1401+,Universidad Católica de Temuco,Chile,Americas,M,CO,HI,Private not for Profit,5.4,701+,2.5,701+,2.7,801+,9.7,801+,49.7,442,1.4,801+,1.3,801+,21.9,801+,2.5,801+,26.7,801+,-
1474,1401+,1201-1400,Universidad de Tarapaca,Chile,Americas,M,CO,VH,Public,4.1,701+,2.1,701+,4.4,801+,20.4,706,17.7,755,,,,,49.6,801+,2.5,801+,21.0,801+,-
1475,1401+,1201-1400,Universidad del Bio-Bio,Chile,Americas,M,CO,VH,Public,11.6,701+,5.0,701+,4.9,801+,8.6,801+,11.8,801+,1.9,801+,1.6,801+,32.1,801+,2.5,801+,24.0,801+,-
