Ranking,Name,AR SCORE,ER SCORE,FSR SCORE,CPF SCORE,IFR SCORE,ISR SCORE,ISD SCORE,IRN SCORE,EO SCORE,SUS SCORE,Overall SCORE,Overall_calculado,Ranking_calculado,Diferencia
1,Pontificia Universidad Católica de Chile,98.0,98.6,35.1,14.2,42.0,7.8,11.9,81.2,99.9,80.0,66.1,66.085,1,0
2,Universidad de Chile,91.9,92.0,10.9,18.2,12.2,8.1,13.1,77.9,97.6,69.5,59.1,59.36500000000001,2,0
3,Universidad de Santiago de Chile - USACH,50.4,59.9,11.4,7.8,10.6,3.8,8.0,53.9,17.5,53.7,32.7,33.78,3,0
4,Universidad Adolfo Ibáñez,28.7,63.3,7.6,9.1,46.4,8.0,11.7,34.4,60.7,40.0,29,30.159999999999997,4,0
5,Universidad de Concepción,36.8,34.0,20.2,12.3,14.5,2.6,6.9,64.1,16.9,69.5,27.8,29.0,5,0
6,Pontificia Universidad Católica de Valparaíso,36.4,29.0,6.8,13.2,15.1,2.6,2.2,43.3,12.2,36.9,-,24.094999999999995,6,0
7,Universidad de los Andes Chile,25.3,36.5,13.4,4.7,15.1,3.5,7.7,17.9,45.2,28.9,-,20.875,7,0
12,Universidad Técnica Federico Santa María,13.3,37.5,4.7,8.3,19.0,1.8,1.6,46.3,17.7,42.7,-,18.12,8,4
9,Universidad Austral de Chile,19.3,15.4,4.1,14.3,20.5,2.5,6.8,45.8,4.8,44.0,-,17.250000000000004,9,0
11,Universidad Diego Portales,19.0,25.8,11.9,5.5,17.5,6.3,4.9,37.1,8.8,36.4,-,17.165,10,1
8,Universidad Andrés Bello - UNAB,19.5,16.4,11.1,3.9,9.6,3.8,8.2,60.9,2.5,56.9,-,16.884999999999998,11,-3
10,Universidad de Talca,14.4,11.7,9.1,13.2,27.4,1.9,1.7,46.4,2.5,29.4,-,15.005000000000003,12,-2
14,Universidad de la Frontera (UFRO),14.4,7.5,6.5,19.2,3.1,1.7,1.5,44.0,2.7,32.3,-,14.125,13,1
15,Universidad de Valparaíso,15.5,8.4,12.8,5.0,8.6,2.9,2.4,34.3,4.8,39.7,-,12.704999999999998,14,1
16,Universidad del Desarrollo,11.8,15.7,15.7,4.0,10.6,3.3,7.6,18.3,6.8,47.5,-,12.59,15,1
13,Universidad Católica del Norte,5.7,5.0,10.9,9.3,21.9,8.5,6.5,45.0,2.5,53.0,-,11.955,16,-3
19,Universidad de Tarapaca,4.1,2.1,4.4,20.4,17.7,,,49.6,2.5,21.0,-,10.605,17,2
20,Universidad del Bio-Bio,11.6,5.0,4.9,8.6,11.8,1.9,1.6,32.1,2.5,24.0,-,10.055,18,2
17,Universidad Autónoma de Chile,7.9,4.7,6.2,6.2,15.6,1.7,1.5,38.9,2.5,35.9,-,9.665000000000001,19,-2
18,Universidad Católica de Temuco,5.4,2.5,2.7,9.7,49.7,1.4,1.3,21.9,2.5,26.7,-,9.315000000000001,20,-2
