rank,nid,title,city,overall_score,rank_display,academic_reputation_score,academic_reputation_rank,employer_reputation_score,employer_reputation_rank,faculty_student_ratio_score,faculty_student_ratio_rank,staff_phd_score,staff_phd_rank,citations_per_paper_score,citations_per_paper_rank,papers_per_faculty_score,papers_per_faculty_rank,international_research_network_score,international_research_network_rank,web_impact_score,web_impact_rank,scholarship,student_mix_domestic,student_mix_international
1,294549,Pontificia Universidad Católica de Chile (UC),Santiago,100,1,100,3,100,1,65.2,79,98.3,16,76.7,60,96.8,22,99.8,4,95.7,13,Yes,95%,5%
7,294535,Universidad de Chile,Santiago,92.5,=6,100,5,100,6,22.3,201+,69.2,82,75.7,62,99.4,11,99.7,7,100,4,No,95%,5%
11,296834,Universidad de Concepción,Concepción,87.1,11,89.2,23,88.7,29,37,171,60.4,101,89.8,30,88.9,34,98.7,13,82.5,32,No,98%,2%
17,297429,Universidad de Santiago de Chile (USACH),Santiago,81.4,17,96.9,15,96.9,14,24,201+,29,191,57.7,107,80.6,48,96.7,24,63.7,53,No,98%,2%
22,294642,Universidad Adolfo Ibáñez,Santiago,77.1,22,80,33,99,11,19.5,201+,81.3,70,28.4,201+,96.4,23,86.8,65,43.6,106,No,95%,5%
24,297096,Pontificia Universidad Católica de Valparaíso,Valparaíso,76.4,24,89,24,81.4,40,14.8,201+,60.7,99,45.4,158,99.1,15,92.7,49,50.3,82,No,98%,2%
37,296838,Universidad Austral de Chile,Valdivia,67.2,37,65.5,54,59.5,70,9.1,201+,85,62,49.8,142,99.3,12,93.9,41,59.4,58,No,99%,1%
43,294498,Universidad Diego Portales (UDP),Santiago,64.6,43,64.9,57,79.2,42,24.2,201+,14.4,201+,87.3,35,46,110,88.9,60,34.8,145,No,96%,4%
46,293446,Universidad de los Andes - Chile,Santiago,63.4,=45,72.6,43,90.2,26,29.2,201+,28.1,197,36,193,58.2,84,64.3,119,25.8,201+,No,98%,2%
47,295086,Universidad Técnica Federico Santa María (USM),Valparaíso,62.5,47,51.1,86,83.4,38,10,201+,46.3,132,67.7,73,80.2,49,94.1,38,22.5,201+,No,99%,1%
49,296836,Universidad de Talca,Talca,62,=48,54,77,48.9,90,19.1,201+,53.9,116,80.8,52,94.9,24,94.1,37,59.3,59,No,99%,1%
53,296837,Universidad de La Frontera (UFRO),Temuco,60.5,53,54.1,76,34,129,14.9,201+,81.6,69,85.6,39,99.1,14,93.1,47,32.3,=159,No,99%,1%
61,293386,Universidad Andrés Bello,Santiago,58.9,61,63.2,60,62,64,25.6,201+,14.4,201+,63.4,87,36.1,131,98.2,17,46.4,96,No,98%,2%
81,295087,Universidad del Desarrollo (UDD),Santiago,51.6,=81,44.4,101,60.2,67,30.2,201+,11.8,201+,91.7,27,28.6,166,65.1,117,43.4,107,No,98%,2%
86,293464,Universidad de Valparaíso (UV),Valparaíso,50.8,=85,56.9,69,37.5,115,25.6,201+,33,173,37.1,187,61.2,79,86.8,66,43.7,104,No,98%,2%
90,296835,Universidad del Bío-Bío,Concepción,49.5,90,46.3,93,23.3,151+,10.8,201+,72.2,78,50.3,141,92,30,84.8,70,39.6,121,No,99%,1%
116,295884,Universidad Autónoma de Chile,Providencia,43.3,=115,34.5,133,22,151+,13.5,201+,23.9,201+,93.5,21,48.9,103,90.2,56,36.9,129,No,99%,1%
119,293422,Universidad Católica del Norte,Antofagasta,43,=118,27.1,151+,23,151+,24.7,201+,32.8,174,63.9,85,87.1,37,93.5,45,47,92,No,95%,5%
125,296842,Universidad de Tarapaca,Arica,40.4,124,21.5,151+,9.1,151+,9.7,201+,40.2,145,92.3,25,99.8,5,95.4,28,29.9,173,No,100%,0%
