Papers en el dominio 3 de OpenAlex,,,,,,,,
Año,PUC,UCHILE,USM,USACH,UDEConce,PUCV,UNAB,UV
2019,1216,1609,674,486,929,486,434,282
2020,1404,1773,685,537,985,537,566,341
2021,1460,1700,767,543,1137,544,678,319
2022,1207,1570,600,486,1018,486,498,256
2023,1497,1641,832,546,1100,546,595,278
2024,1577,1530,785,517,1190,517,578,277
2025,1459,1605,803,471,1290,471,445,268
2026,525,588,300,141,450,141,136,92
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Total de citas en los papers del dominio 3 de OpenAlex,,,,,,,,
Año,PUC,UCHILE,USM,USACH,UDEConce,PUCV,UNAB,UV
2019,37412,37092,14752,10675,38510,10675,13310,7132
2020,39368,40764,15932,12635,25050,12635,15414,9366
2021,28099,35004,15539,8996,20300,8996,13876,5382
2022,20100,22385,7132,6518,18651,6518,9398,3340
2023,14414,15818,6997,4542,9329,4542,6695,2418
2024,7977,7954,3787,3599,5422,3599,3377,1352
2025,2604,2867,1292,1347,1826,1347,832,403
2026,64,84,26,12,51,12,21,11
