"id","name","mutualDocumentsCount"
"60019499","Chinese Academy of Sciences","702"
"60008134","CNRS Centre National de la Recherche Scientifique","1137"
"60016849","University of Toronto","635"
"60027363","University of Chinese Academy of Sciences","583"
"60025272","The University of Tokyo","685"
"60025278","Tsinghua University","606"
"60025778","University of Michigan, Ann Arbor","642"
"60026851","University of Oxford","692"
"60008088","Universidade de São Paulo","831"
"60015481","University of Washington","635"
"60025038","University of California, Berkeley","618"
"60022148","University College London","677"
"60031101","University of Cambridge","788"
"60006297","University of Pennsylvania","589"
"60032179","University of Wisconsin-Madison","625"
"60011001","Kyoto University","608"
"60000745","University of Illinois Urbana-Champaign","615"
"60030162","Columbia University","625"
"60010365","The University of British Columbia","586"
"60026553","University of Melbourne","592"
"60025709","The University of Sydney","609"
"60003500","The Ohio State University","635"
"60032350","Sapienza Università di Roma","583"
"60003771","The University of Manchester","615"
"60001422","Sorbonne Université","751"
"60002494","Université McGill","576"
"60013372","The University of Texas at Austin","616"
"60006754","Consejo Superior de Investigaciones Científicas","888"
"60028717","Ludwig-Maximilians-Universität München","578"
"60030840","Københavns Universitet","652"
"60106017","Université Paris-Saclay","657"
"60009982","Harvard University","571"
"60027272","The University of Edinburgh","653"
"60015543","University of Pittsburgh","609"
"60123796","Université Paris Cité","684"
"60029278","The University of Chicago","646"
"60030318","Università degli Studi di Milano","580"
"60010065","The University of Arizona","708"
"60005455","Yale University","591"
"60031707","Michigan State University","579"
"60002483","Universiteit van Amsterdam","617"
"60028218","Alma Mater Studiorum Università di Bologna","666"
"60005681","Tel Aviv University","620"
"60031031","Shandong University","583"
"60029170","Lunds Universitet","606"
"60019702","University of Birmingham","640"
"60017293","Università degli Studi di Napoli Federico II","640"
"60016908","Universität Heidelberg","688"
"60007278","University of California, Irvine","611"
"60003858","Uppsala Universitet","631"
"60010348","Universitetet i Oslo","591"
"60004518","Consejo Nacional de Investigaciones Científicas y Técnicas","912"
"60001490","University of Glasgow","624"
"60001881","The University of Sheffield","596"
"60016605","Charles University","601"
"60021784","New York University","588"
"60020661","University of Liverpool","611"
"60024324","University of Iowa","594"
"60000264","Nagoya University","593"
"60102127","Aix Marseille Université","691"
"60004354","Iowa State University","573"
"60028868","Università di Pisa","622"
"60023020","Universitat Autònoma de Barcelona","639"
"60009512","The University of Adelaide","589"
"60007493","Universität Bonn","623"
"60106051","Universidade de Lisboa","617"
"60000036","Universidade Federal do Rio de Janeiro","642"
"60025641","Universität Freiburg","586"
"60104653","Université Grenoble Alpes","615"
"60007174","Lawrence Berkeley National Laboratory","597"
"60000762","Humboldt-Universität zu Berlin","609"
"60028900","National and Kapodistrian University of Athens","587"
"60021121","Indiana University Bloomington","571"
"60022020","University of Warwick","615"
"60002644","Universitat de València","770"
"60025153","Università degli Studi di Genova","575"
"60015331","Aristotle University of Thessaloniki","575"
"60028378","Stockholms universitet","687"
"60026796","Universidad Autónoma de Madrid","674"
"60004718","Université de Genève","651"
"60016529","Radboud Universiteit","601"
"60000356","University of Cape Town","591"
"60028609","Argonne National Laboratory","570"
"60027844","Universidad de Granada","791"
"60001563","Universidad de Buenos Aires","686"
"60027509","Università degli Studi di Roma "Tor Vergata"","607"
"60012689","Julius-Maximilians-Universität Würzburg","590"
"60016218","University of the Witwatersrand, Johannesburg","588"
"60031106","Univerza v Ljubljani","575"
"60029622","Universitetet i Bergen","581"
"60007816","Commissariat a l'Energie Atomique et aux Energies Alternatives","618"
"60012464","Universidad de Chile","2370"
"60021361","Uniwersytet Jagielloński","601"
"60004956","Instituto Superior Técnico","586"
"60023462","Waseda University","569"
"60017563","Weizmann Institute of Science Israel","638"
"60033420","York University","589"
"60019778","Organisation Européenne pour la Recherche Nucléaire","599"
"60024941","University of California, Santa Cruz","627"
"60029681","Pontificia Universidad Católica de Chile","2464"
"60000717","University of Johannesburg","593"
"60009999","Universität Innsbruck","596"
"60017351","AGH University of Krakow","621"
"60013323","Czech Technical University in Prague","582"
"60032991","Technische Universität Dortmund","604"
"60138276","Université Clermont Auvergne","575"
"60032057","Universidad Nacional de La Plata","649"
"60021660","Istituto Nazionale di Fisica Nucleare - INFN","623"
"60030635","Deutsches Elektronen-Synchrotron (DESY)","587"
"60150063","College of Science","578"
"60003367","Palacký University Olomouc","585"
"60025995","IN2P3 - Institut National de Physique Nucléaire et de Physique Des Particules","632"
"60027631","Institute of High Energy Physics, Chinese Academy of Sciences","570"
"60025965","Università degli Studi di Udine","585"
"60121115","Department of Physics","587"
"60001282","Universidad de Concepcion","1062"
"60025590","SLAC National Accelerator Laboratory","591"
"60003218","High Energy Accelerator Research Organization, Tsukuba","581"
"60016576","Institute of Physics of the Czech Academy of Sciences","586"
"60017041","Niels Bohr Institutet","650"
"60016340","INFN, Laboratori Nazionali Di Frascati","572"
"60027337","Henryk Niewodniczanski Institute of Nuclear Physics of the Polish Academy of Sciences","629"
"60019513","Université Savoie Mont Blanc","615"
"60023383","Universidad de Santiago de Chile","856"
"60180347","Laboratoire de Physique des 2 Infinis Irène Joliot-Curie","591"
"60114720","Istituto Nazionale di Fisica Nucleare, Sezione di Bologna","586"
"60023520","Pontificia Universidad Católica de Valparaíso","652"
"60113231","Istituto Nazionale di Fisica Nucleare, Sezione di Napoli","617"
"60108879","Barcelona Institute of Science and Technology (BIST)","609"
"60113665","Istituto Nazionale di Fisica Nucleare, Sezione di Pisa","624"
"60106133","Institut de Recherche sur les Lois Fondamentales de l'Univers","636"
"60007087","Universidad Técnica Federico Santa María","1011"
"60013557","CSIC-UV - Instituto de Física Corpuscular (IFIC)","594"
"60008743","Max Planck Institute for Physics (Werner Heisenberg Institute)","574"
"60023824","FOM-Institute of Subatomic Physics - NIKHEF","570"
"60114732","Istituto Nazionale di Fisica Nucleare, Sezione di Genova","582"
"60008781","Universidad de Valparaiso","709"
"60105371","Universidad Autónoma de Chile","716"
"60030782","Universidad de Tarapacá","667"
"60157983","Laboratoire de Physique Nucléaire et de Hautes Energies","620"
"60019232","Institut de Física d'Altes Energies, Bellaterra","603"
"60000636","Universidad San Sebastián","583"
"60025171","Laboratoire d'Annecy-le-Vieux de Physique des Particules LAPP","574"
"60236992","Oskar Klein Centre","669"
"60107094","Centre de Physique des Particules de Marseille","612"
"60085982","Santa Cruz Institute for Particle Physics","588"
"60114688","Istituto Nazionale di Fisica Nucleare, Sezione di Roma Tor Vergata","602"
"60016754","Universidad de La Serena","598"
"60105362","Universidad de Las Américas Chile","603"
"60281764","Facultad de Ciencias de la Vida","1530"
