"id","name","mutualDocumentsCount"
"60019499","Chinese Academy of Sciences","134"
"60008134","CNRS Centre National de la Recherche Scientifique","576"
"60016849","University of Toronto","80"
"60025272","The University of Tokyo","127"
"60025778","University of Michigan, Ann Arbor","115"
"60026851","University of Oxford","152"
"60008088","Universidade de São Paulo","216"
"60015481","University of Washington","91"
"60027550","University of California, Los Angeles","116"
"60012708","Stanford University","104"
"60022148","University College London","116"
"60031101","University of Cambridge","237"
"60030162","Columbia University","100"
"60003771","The University of Manchester","84"
"60001439","Pennsylvania State University","93"
"60001422","Sorbonne Université","233"
"60013372","The University of Texas at Austin","80"
"60006754","Consejo Superior de Investigaciones Científicas","196"
"60019578","Monash University","110"
"60025858","ETH Zürich","139"
"60028333","UNSW Sydney","85"
"60030840","Københavns Universitet","109"
"60106017","Université Paris-Saclay","124"
"60027272","The University of Edinburgh","149"
"60123796","Université Paris Cité","168"
"60029278","The University of Chicago","116"
"60010065","The University of Arizona","136"
"60002483","Universiteit van Amsterdam","93"
"60028218","Alma Mater Studiorum Università di Bologna","95"
"60000481","Università degli Studi di Padova","182"
"60031581","California Institute of Technology","222"
"60016908","Universität Heidelberg","105"
"60001576","Universitat de Barcelona","114"
"60004518","Consejo Nacional de Investigaciones Científicas y Técnicas","175"
"60001881","The University of Sheffield","104"
"60025225","University of Southampton","103"
"60010023","Rijksuniversiteit Groningen","107"
"60031135","Academy of Sciences of the Czech Republic","110"
"60014383","Polish Academy of Sciences","118"
"60032442","Universidad Nacional Autónoma de México","166"
"60102127","Aix Marseille Université","239"
"60027282","Universidad Complutense de Madrid","89"
"60023020","Universitat Autònoma de Barcelona","138"
"60017246","Eberhard Karls Universität Tübingen","87"
"60007249","Universidade do Porto","89"
"60104653","Université Grenoble Alpes","197"
"60027245","Université de Toulouse","115"
"60022020","University of Warwick","174"
"60102125","Université de Bordeaux","82"
"60019816","Universiteit Leiden","155"
"60028378","Stockholms universitet","84"
"60026796","Universidad Autónoma de Madrid","113"
"60004718","Université de Genève","169"
"60006726","Universidade Federal do Rio Grande do Sul","85"
"60027844","Universidad de Granada","89"
"60001563","Universidad de Buenos Aires","118"
"60013791","University of Hawaiʻi at Mānoa","83"
"60022175","Durham University","127"
"60033284","Universidad de Sevilla","80"
"60033125","University of Leicester","83"
"60007816","Commissariat a l'Energie Atomique et aux Energies Alternatives","102"
"60010146","Università degli Studi di Catania","85"
"60012464","Universidad de Chile","1251"
"60009037","Jet Propulsion Laboratory","95"
"60024941","University of California, Santa Cruz","94"
"60029681","Pontificia Universidad Católica de Chile","1185"
"60110693","Université Côte d'Azur","116"
"60108665","Université PSL","136"
"60032057","Universidad Nacional de La Plata","100"
"60003044","Universidad de la Laguna","167"
"60020680","Harvard-Smithsonian Center for Astrophysics","153"
"60001282","Universidad de Concepcion","491"
"60030106","Istituto Nazionale Di Astrofisica, Rome","371"
"60003674","L'Observatoire de Paris","160"
"60163091","Faculty of Science, Engineering and Medicine","109"
"60032760","University of Hertfordshire","171"
"60017041","Niels Bohr Institutet","102"
"60023383","Universidad de Santiago de Chile","296"
"60017694","CNES Centre National d'Etudes Spatiales","90"
"60008158","Space Telescope Science Institute","172"
"60021561","Max Planck Institute for Extraterrestrial Physics","92"
"60002636","Universidad Andrés Bello","709"
"60003634","Universidad Austral de Chile","229"
"60023520","Pontificia Universidad Católica de Valparaíso","878"
"60011125","Instituto Astrofisico de Canarias","191"
"60106133","Institut de Recherche sur les Lois Fondamentales de l'Univers","90"
"60023599","European Southern Observatory","276"
"60007087","Universidad Técnica Federico Santa María","612"
"60002946","Facultad de Medicina de la Universidad de Chile","346"
"60007268","Max Planck Institute for Astronomy","266"
"60019598","Institute of Astronomy","174"
"60012035","Universidad de la Frontera","148"
"60003878","Sterrewacht Leiden","163"
"60123782","Institut de Recherche en Astrophysique et Planétologie (IRAP)","101"
"60029195","Universidad Católica del Norte","237"
"60010513","Observatoire de la Côte d'Azur","117"
"60016278","Universidad de Talca","106"
"60083354","INAF Istituto di Astrofisica Spaziale e Fisica Cosmica, Bologna","200"
"60019537","University Hawaii Institute for Astronomy","85"
"60106184","Astrophysique, Instrumentation et Modélisation de Paris-Saclay","98"
"60021557","CSIC - Instituto de Astrofísica de Andalucía (IAA)","116"
"60105371","Universidad Autónoma de Chile","189"
"60030782","Universidad de Tarapacá","87"
"60021729","Osservatorio Astrofisico Di Arcetri","177"
"60013592","Universidad Diego Portales","323"
"60031125","Osservatorio Astronomico di Padova","266"
"60007671","Laboratoire d'Astrophysique de Marseille","184"
"60013961","European Southern Observatory Santiago","365"
"60022558","Instituto de Estudios Espaciales de Cataluña","85"
"60028894","LESIA - Laboratoire d'Etudes Spatiales et d'Instrumentation en Astrophysique","83"
"60209630","Institut de Planétologie et d’Astrophysique de Grenoble (IPAG)","161"
"60028677","CSIC-INTA - Centro de Astrobiología (CAB)","95"
"60006858","Royal Observatory","104"
"60023195","Universidad del Bio Bio","128"
"60006469","Universidad del Desarrollo","138"
"60000636","Universidad San Sebastián","167"
"60024986","Osservatorio Astronomico di Roma","96"
"60003942","Universidad Adolfo Ibáñez","166"
"60009462","Universidad Católica del Maule","79"
"60004333","Anton Pannekoek Instituut voor Sterrenkunde","99"
"60011284","Universidad de los Andes, Chile","115"
"60207122","Faculty of Science","151"
"60068629","European Space Astronomy Centre","82"
"60110744","Laboratoire Joseph-Louis Lagrange","96"
"60110880","University of Edinburgh, Institute for Astronomy","134"
"60027686","Nicolaus Copernicus Astronomical Center of the Polish Academy of Sciences","117"
"60000146","Clinica Alemana","126"
"60011527","Universidad de Antofagasta","174"
"60000275","Infrared Processing & Analysis Center","85"
"60001847","Astronomical Institute, Academy of Sciences of the Czech Republic v.v.i.","81"
"60005881","Universidad Mayor","128"
"60011682","Hospital Clínico Universidad De Chile","80"
"60016754","Universidad de La Serena","102"
"60083353","INAF Istituto di Astrofisica Spaziale e Fisica Cosmica, Milan","85"
"60009128","Universidad Santo Tomas, Santiago","104"
"60009418","Facultad de Medicina","84"
"60051252","Osservatorio Astrofisico di Catania","92"
"60007340","Osservatorio Astronomico di Capodimonte","83"
"60019586","Universidad de Playa Ancha","227"
"60138333","Instituto Milenio de Astrofísica","270"
"60073811","Osservatorio Astronomico di Palermo “Giuseppe S. Vaiana”","94"
"60007271","Lund Observatory","82"
"60073245","Vatican Observatory","87"
"60033240","Universidad Viña del Mar","124"
"60281434","Centro Interdisciplinario de Neurociencia de Valparaiso","614"
"60017175","Hospital Carlos Van Buren","240"
"60006841","Hospital Dr Gustavo Fricke","163"
"60281384","Núcleo Milenio de Formación Planetaria","221"
"60019962","Hospital Naval Almirante Nef","116"
"60281570","Centro de Observación Marino para Estudios de Riesgos del Ambiente Costero","84"
