"id","name","mutualDocumentsCount"
"60019499","Chinese Academy of Sciences","448"
"60008134","CNRS Centre National de la Recherche Scientifique","2562"
"60016849","University of Toronto","560"
"60025272","The University of Tokyo","468"
"60025778","University of Michigan, Ann Arbor","516"
"60026851","University of Oxford","590"
"60008088","Universidade de São Paulo","973"
"60015481","University of Washington","339"
"60025038","University of California, Berkeley","579"
"60027550","University of California, Los Angeles","368"
"60012708","Stanford University","371"
"60022148","University College London","750"
"60031101","University of Cambridge","631"
"60015150","Imperial College London","374"
"60022195","Massachusetts Institute of Technology","371"
"60030612","University of California, San Diego","431"
"60030162","Columbia University","399"
"60025709","The University of Sydney","347"
"60003500","The Ohio State University","325"
"60013959","University of Florida","339"
"60032350","Sapienza Università di Roma","332"
"60003771","The University of Manchester","481"
"60014439","University of California, Davis","352"
"60001422","Sorbonne Université","918"
"60006754","Consejo Superior de Investigaciones Científicas","1110"
"60005248","Johns Hopkins University","359"
"60025858","ETH Zürich","392"
"60028333","UNSW Sydney","327"
"60011520","King's College London","317"
"60028717","Ludwig-Maximilians-Universität München","365"
"60030840","Københavns Universitet","471"
"60106017","Université Paris-Saclay","504"
"60027272","The University of Edinburgh","497"
"60123796","Université Paris Cité","745"
"60030318","Università degli Studi di Milano","341"
"60010065","The University of Arizona","544"
"60005455","Yale University","463"
"60028218","Alma Mater Studiorum Università di Bologna","336"
"60000481","Università degli Studi di Padova","468"
"60002952","Helsingin Yliopisto","484"
"60031581","California Institute of Technology","711"
"60016908","Universität Heidelberg","586"
"60010348","Universitetet i Oslo","343"
"60008950","The Australian National University","375"
"60001576","Universitat de Barcelona","729"
"60004518","Consejo Nacional de Investigaciones Científicas y Técnicas","1266"
"60010023","Rijksuniversiteit Groningen","483"
"60032442","Universidad Nacional Autónoma de México","607"
"60012259","Università degli Studi di Torino","316"
"60102127","Aix Marseille Université","554"
"60027282","Universidad Complutense de Madrid","455"
"60023020","Universitat Autònoma de Barcelona","503"
"60007493","Universität Bonn","442"
"60106051","Universidade de Lisboa","385"
"60104653","Université Grenoble Alpes","639"
"60023578","Université Claude Bernard Lyon 1","388"
"60027245","Université de Toulouse","528"
"60002644","Universitat de València","393"
"60019816","Universiteit Leiden","569"
"60028378","Stockholms universitet","323"
"60026796","Universidad Autónoma de Madrid","444"
"60004718","Université de Genève","482"
"60027844","Universidad de Granada","319"
"60001563","Universidad de Buenos Aires","695"
"60022175","Durham University","323"
"60007816","Commissariat a l'Energie Atomique et aux Energies Alternatives","348"
"60009037","Jet Propulsion Laboratory","385"
"60029681","Pontificia Universidad Católica de Chile","6400"
"60110693","Université Côte d'Azur","465"
"60108665","Université PSL","510"
"60003044","Universidad de la Laguna","438"
"60020680","Harvard-Smithsonian Center for Astrophysics","576"
"60001282","Universidad de Concepcion","2030"
"60030106","Istituto Nazionale Di Astrofisica, Rome","656"
"60003674","L'Observatoire de Paris","562"
"60071612","Universidad de la Republica","346"
"60023383","Universidad de Santiago de Chile","2469"
"60017694","CNES Centre National d'Etudes Spatiales","327"
"60029701","National Institutes of Natural Sciences - National Astronomical Observatory of Japan","380"
"60008158","Space Telescope Science Institute","362"
"60021561","Max Planck Institute for Extraterrestrial Physics","408"
"60002636","Universidad Andrés Bello","2370"
"60003634","Universidad Austral de Chile","1402"
"60023520","Pontificia Universidad Católica de Valparaíso","1150"
"60011125","Instituto Astrofisico de Canarias","454"
"60023599","European Southern Observatory","571"
"60007087","Universidad Técnica Federico Santa María","750"
"60002946","Facultad de Medicina de la Universidad de Chile","11959"
"60007268","Max Planck Institute for Astronomy","777"
"60019598","Institute of Astronomy","320"
"60012035","Universidad de la Frontera","913"
"60003878","Sterrewacht Leiden","479"
"60123782","Institut de Recherche en Astrophysique et Planétologie (IRAP)","351"
"60015201","Institut d’Astrophysique de Paris","316"
"60029195","Universidad Católica del Norte","889"
"60010513","Observatoire de la Côte d'Azur","368"
"60008781","Universidad de Valparaiso","1251"
"60016278","Universidad de Talca","761"
"60105371","Universidad Autónoma de Chile","815"
"60030782","Universidad de Tarapacá","812"
"60021729","Osservatorio Astrofisico Di Arcetri","371"
"60013592","Universidad Diego Portales","1202"
"60031125","Osservatorio Astronomico di Padova","404"
"60007671","Laboratoire d'Astrophysique de Marseille","349"
"60013961","European Southern Observatory Santiago","651"
"60022558","Instituto de Estudios Espaciales de Cataluña","321"
"60209630","Institut de Planétologie et d’Astrophysique de Grenoble (IPAG)","484"
"60023195","Universidad del Bio Bio","412"
"60006469","Universidad del Desarrollo","1119"
"60000636","Universidad San Sebastián","725"
"60003942","Universidad Adolfo Ibáñez","753"
"60009462","Universidad Católica del Maule","591"
"60011284","Universidad de los Andes, Chile","1045"
"60002312","Carnegie Observatories","328"
"60207122","Faculty of Science","402"
"60000146","Clinica Alemana","1094"
"60122504","Facultad de Ciencias Físicas y Matemáticas de la Universidad de Chile","4586"
"60011527","Universidad de Antofagasta","434"
"60005881","Universidad Mayor","854"
"60011682","Hospital Clínico Universidad De Chile","2194"
"60016754","Universidad de La Serena","342"
"60009128","Universidad Santo Tomas, Santiago","503"
"60009418","Facultad de Medicina","533"
"60105370","Universidad Bernardo O'Higgins","386"
"60017912","Clínica Las Condes","745"
"60001755","Universidad Tecnológica Metropolitana","631"
"60088733","Universidad Alberto Hurtado","322"
"60105362","Universidad de Las Américas Chile","345"
"60003449","Universidad de Magallanes","423"
"60088707","Instituto de Ecología y Biodiversidad","962"
"60105368","Universidad Finis Terrae","327"
"60211751","Facultad de Medicina Clinica Alemana Universidad del Desarrollo","419"
"60138333","Instituto Milenio de Astrofísica","337"
"60105870","Centro para el Desarrollo de la Nanociencia y Nanotecnología","591"
"60281764","Facultad de Ciencias de la Vida","352"
"60157974","Universidad de O’Higgins","492"
"60006634","Hospital del Salvador","859"
"60003126","Universidad Metropolitana de Ciencias de la Educación","345"
"60004577","Hospital Clínico San Borja Arriarán","917"
"60033076","Hospital Dr. Luis Calvo Mackenna Hospital","563"
"60122505","Centro Avanzado de Tecnología para la Minería","1072"
"60281366","Centro Avanzado de Enfermedades Crónicas","819"
"60281450","Instituto Milenio en Inmunología e Inmunoterapia","400"
"60015638","Hospital San Juan de Dios, Santiago de Chile","501"
"60105909","Centro de Ciencia del Clima y la Resiliencia (CR)2","512"
"60012467","Hospital de Niños Roberto del Río","333"
"60281816","Instituto de Neurociencia Biomédica","576"
"60219122","Instituto Sistemas Complejos de Ingeniería","339"
