"id","name","mutualDocumentsCount"
"60008134","CNRS Centre National de la Recherche Scientifique","425"
"60002746","Harvard Medical School","59"
"60026851","University of Oxford","73"
"60008088","Universidade de São Paulo","304"
"60000905","Inserm","73"
"60022148","University College London","77"
"60031101","University of Cambridge","100"
"60032179","University of Wisconsin-Madison","58"
"60010365","The University of British Columbia","55"
"60023691","University of California, San Francisco","104"
"60003771","The University of Manchester","89"
"60001422","Sorbonne Université","101"
"60006754","Consejo Superior de Investigaciones Científicas","335"
"60025063","KU Leuven","69"
"60028717","Ludwig-Maximilians-Universität München","52"
"60106017","Université Paris-Saclay","84"
"60007457","Lomonosov Moscow State University","87"
"60010065","The University of Arizona","53"
"60033316","Universiteit Gent","77"
"60001576","Universitat de Barcelona","142"
"60004518","Consejo Nacional de Investigaciones Científicas y Técnicas","352"
"60010023","Rijksuniversiteit Groningen","61"
"60015138","University of Nottingham","94"
"60032442","Universidad Nacional Autónoma de México","98"
"60027282","Universidad Complutense de Madrid","68"
"60029570","Universidade Estadual de Campinas","93"
"60023020","Universitat Autònoma de Barcelona","105"
"60006028","Universidade Estadual Paulista "Júlio de Mesquita Filho"","61"
"60106051","Universidade de Lisboa","103"
"60000036","Universidade Federal do Rio de Janeiro","187"
"60005686","University of Auckland","61"
"60007249","Universidade do Porto","54"
"60104653","Université Grenoble Alpes","71"
"60002644","Universitat de València","83"
"60026796","Universidad Autónoma de Madrid","76"
"60006726","Universidade Federal do Rio Grande do Sul","90"
"60027844","Universidad de Granada","169"
"60001563","Universidad de Buenos Aires","149"
"60030074","Universidade Federal de Minas Gerais","72"
"60104289","Université de Lorraine","69"
"60033284","Universidad de Sevilla","61"
"60027856","Universidad del Pais Vasco","104"
"60011149","Trinity College Dublin","96"
"60007592","Universitat Politècnica de Catalunya","101"
"60021508","University of Notre Dame","65"
"60012464","Universidad de Chile","2469"
"60102126","Université de Lyon","58"
"60014992","Universidade Federal de São Paulo","168"
"60011476","Universitat Politècnica de València","55"
"60016809","Universidad de Zaragoza","67"
"60028442","Universidad Politécnica de Madrid","80"
"60029681","Pontificia Universidad Católica de Chile","1559"
"60028419","Universidade de Santiago de Compostela","69"
"60017609","Universidade Federal de Santa Catarina","56"
"60001602","Instituto de Salud Carlos III","61"
