"id","name","mutualDocumentsCount"
"60019499","Chinese Academy of Sciences","1850"
"60008134","CNRS Centre National de la Recherche Scientifique","3113"
"60016849","University of Toronto","2266"
"60025272","The University of Tokyo","1884"
"60025778","University of Michigan, Ann Arbor","1991"
"60026851","University of Oxford","2169"
"60008088","Universidade de São Paulo","2370"
"60015481","University of Washington","1875"
"60025038","University of California, Berkeley","2143"
"60022148","University College London","2081"
"60031101","University of Cambridge","2062"
"60006297","University of Pennsylvania","1869"
"60032179","University of Wisconsin-Madison","1846"
"60011001","Kyoto University","1655"
"60000745","University of Illinois Urbana-Champaign","1702"
"60030162","Columbia University","1934"
"60010365","The University of British Columbia","1894"
"60026553","University of Melbourne","1823"
"60025709","The University of Sydney","1783"
"60003500","The Ohio State University","1781"
"60032350","Sapienza Università di Roma","1743"
"60003771","The University of Manchester","1751"
"60001422","Sorbonne Université","2008"
"60002494","Université McGill","1716"
"60013372","The University of Texas at Austin","1554"
"60006754","Consejo Superior de Investigaciones Científicas","2201"
"60030835","University of Alberta","1637"
"60011520","King's College London","1587"
"60024322","The University of Osaka","1557"
"60028717","Ludwig-Maximilians-Universität München","1761"
"60030840","Københavns Universitet","1946"
"60106017","Université Paris-Saclay","1736"
"60009982","Harvard University","1767"
"60027272","The University of Edinburgh","1882"
"60015543","University of Pittsburgh","1757"
"60123796","Université Paris Cité","1825"
"60019118","University of Science and Technology of China","1610"
"60029278","The University of Chicago","1912"
"60030318","Università degli Studi di Milano","1638"
"60010065","The University of Arizona","1976"
"60005455","Yale University","1826"
"60031707","Michigan State University","1735"
"60002483","Universiteit van Amsterdam","1755"
"60028218","Alma Mater Studiorum Università di Bologna","1772"
"60005681","Tel Aviv University","1719"
"60029170","Lunds Universitet","1614"
"60019702","University of Birmingham","1649"
"60017293","Università degli Studi di Napoli Federico II","1617"
"60033100","Nanjing University","1579"
"60016908","Universität Heidelberg","1966"
"60007278","University of California, Irvine","1648"
"60003858","Uppsala Universitet","1597"
"60008724","Duke University","1597"
"60010348","Universitetet i Oslo","1693"
"60004518","Consejo Nacional de Investigaciones Científicas y Técnicas","2248"
"60001490","University of Glasgow","1580"
"60001881","The University of Sheffield","1662"
"60016605","Charles University","1686"
"60021784","New York University","1695"
"60020661","University of Liverpool","1572"
"60024324","University of Iowa","1545"
"60000264","Nagoya University","1590"
"60009507","University of Montreal","1640"
"60102127","Aix Marseille Université","1796"
"60004354","Iowa State University","1560"
"60028868","Università di Pisa","1556"
"60023020","Universitat Autònoma de Barcelona","1684"
"60007493","Universität Bonn","1704"
"60019674","Boston University","1581"
"60020486","University of Bern","1593"
"60106051","Universidade de Lisboa","1603"
"60000036","Universidade Federal do Rio de Janeiro","1683"
