"id","name","mutualDocumentsCount"
"60019499","Chinese Academy of Sciences","70"
"60008134","CNRS Centre National de la Recherche Scientifique","433"
"60016849","University of Toronto","90"
"60025272","The University of Tokyo","114"
"60025778","University of Michigan, Ann Arbor","56"
"60008088","Universidade de São Paulo","200"
"60025038","University of California, Berkeley","63"
"60012708","Stanford University","86"
"60022148","University College London","111"
"60031101","University of Cambridge","83"
"60022195","Massachusetts Institute of Technology","53"
"60006297","University of Pennsylvania","78"
"60000745","University of Illinois Urbana-Champaign","67"
"60030162","Columbia University","74"
"60007776","Cornell University","95"
"60014439","University of California, Davis","70"
"60001422","Sorbonne Université","102"
"60002494","Université McGill","53"
"60006754","Consejo Superior de Investigaciones Científicas","251"
"60028717","Ludwig-Maximilians-Universität München","53"
"60030840","Københavns Universitet","61"
"60106017","Université Paris-Saclay","93"
"60123796","Université Paris Cité","53"
"60029278","The University of Chicago","82"
"60010065","The University of Arizona","78"
"60005455","Yale University","57"
"60031581","California Institute of Technology","77"
"60123163","INRAE","63"
"60003269","Princeton University","103"
"60001576","Universitat de Barcelona","133"
"60029470","Commonwealth Scientific and Industrial Research Organisation","79"
"60004518","Consejo Nacional de Investigaciones Científicas y Técnicas","189"
"60003892","Arizona State University","54"
"60032442","Universidad Nacional Autónoma de México","127"
"60014171","University of Waterloo","55"
"60119141","Rutgers University–New Brunswick","55"
"60027282","Universidad Complutense de Madrid","67"
"60029570","Universidade Estadual de Campinas","85"
"60023020","Universitat Autònoma de Barcelona","145"
"60006028","Universidade Estadual Paulista "Júlio de Mesquita Filho"","99"
"60106051","Universidade de Lisboa","64"
"60000036","Universidade Federal do Rio de Janeiro","76"
"60023998","Cardiff University","58"
"60108488","Université de Montpellier","58"
"60007174","Lawrence Berkeley National Laboratory","63"
"60002644","Universitat de València","79"
"60028229","Universität Hamburg","112"
"60026796","Universidad Autónoma de Madrid","77"
"60006726","Universidade Federal do Rio Grande do Sul","87"
"60027844","Universidad de Granada","167"
"60001563","Universidad de Buenos Aires","98"
"60019544","Macquarie University","60"
"60007592","Universitat Politècnica de Catalunya","80"
"60007816","Commissariat a l'Energie Atomique et aux Energies Alternatives","61"
"60012162","Politecnico di Torino","61"
"60012464","Universidad de Chile","1150"
"60010499","University of KwaZulu-Natal","106"
"60014992","Universidade Federal de São Paulo","53"
"60011476","Universitat Politècnica de València","95"
"60016809","Universidad de Zaragoza","58"
"60006337","NASA Goddard Space Flight Center","94"
"60024941","University of California, Santa Cruz","91"
"60029681","Pontificia Universidad Católica de Chile","897"
"60028419","Universidade de Santiago de Compostela","72"
"60017609","Universidade Federal de Santa Catarina","77"
"60030553","Université de Rennes","63"
"60002947","National Technical University of Athens (NTUA)","61"
"60020475","Universidade do Minho","95"
"60015043","Universidade Federal do Parana","73"
"60032006","Nantes Université","88"
"60025028","Universidad de Salamanca","67"
"60032057","Universidad Nacional de La Plata","83"
"60003662","Universidad de Málaga","64"
"60017323","Centro de Investigacion y de Estudios Avanzados del Instituto Politécnico Nacional","58"
"60156116","University of Pennsylvania School of Arts and Sciences","74"
"60000823","Universidad de Castilla-La Mancha","87"
"60001741","Universidad Carlos III de Madrid","62"
"60003044","Universidad de la Laguna","73"
"60001282","Universidad de Concepcion","794"
"60030106","Istituto Nazionale Di Astrofisica, Rome","60"
"60071612","Universidad de la Republica","93"
"60016476","Universidad de Cádiz","65"
"60028711","Universidad Nacional de Educacion a Distancia","85"
"60023383","Universidad de Santiago de Chile","591"
"60029701","National Institutes of Natural Sciences - National Astronomical Observatory of Japan","56"
"60002636","Universidad Andrés Bello","652"
