"id","name","mutualDocumentsCount"
"60019499","Chinese Academy of Sciences","1541"
"60008134","CNRS Centre National de la Recherche Scientifique","2038"
"60016849","University of Toronto","1541"
"60025272","The University of Tokyo","1521"
"60025778","University of Michigan, Ann Arbor","1592"
"60026851","University of Oxford","1639"
"60008088","Universidade de São Paulo","1580"
"60015481","University of Washington","1500"
"60022148","University College London","1639"
"60031101","University of Cambridge","1476"
"60006297","University of Pennsylvania","1590"
"60032179","University of Wisconsin-Madison","1656"
"60011001","Kyoto University","1494"
"60000745","University of Illinois Urbana-Champaign","1599"
"60030162","Columbia University","1522"
"60010365","The University of British Columbia","1479"
"60026553","University of Melbourne","1524"
"60025709","The University of Sydney","1483"
"60003500","The Ohio State University","1599"
"60032350","Sapienza Università di Roma","1621"
"60003771","The University of Manchester","1570"
"60001422","Sorbonne Université","1613"
"60002494","Université McGill","1560"
"60006754","Consejo Superior de Investigaciones Científicas","1697"
"60030835","University of Alberta","1491"
"60024322","The University of Osaka","1479"
"60030840","Københavns Universitet","1474"
"60106017","Université Paris-Saclay","1717"
"60009982","Harvard University","1567"
"60027272","The University of Edinburgh","1603"
"60015543","University of Pittsburgh","1647"
"60019118","University of Science and Technology of China","1506"
"60029278","The University of Chicago","1618"
"60030318","Università degli Studi di Milano","1476"
"60010065","The University of Arizona","1487"
"60005455","Yale University","1585"
"60031707","Michigan State University","1579"
"60002483","Universiteit van Amsterdam","1501"
"60028218","Alma Mater Studiorum Università di Bologna","1617"
"60005681","Tel Aviv University","1595"
"60031031","Shandong University","1479"
"60029170","Lunds Universitet","1508"
"60017293","Università degli Studi di Napoli Federico II","1578"
"60033100","Nanjing University","1481"
"60016908","Universität Heidelberg","1549"
"60007278","University of California, Irvine","1606"
"60003858","Uppsala Universitet","1476"
"60008724","Duke University","1629"
"60010348","Universitetet i Oslo","1486"
"60004518","Consejo Nacional de Investigaciones Científicas y Técnicas","1588"
"60001490","University of Glasgow","1736"
"60001881","The University of Sheffield","1498"
"60016605","Charles University","1537"
"60020661","University of Liverpool","1625"
"60024324","University of Iowa","1603"
"60000264","Nagoya University","1502"
"60102127","Aix Marseille Université","1553"
"60004354","Iowa State University","1540"
"60028868","Università di Pisa","1615"
"60007493","Universität Bonn","1526"
"60019674","Boston University","1502"
"60000036","Universidade Federal do Rio de Janeiro","1506"
"60018353","Technische Universität Dresden","1513"
"60026415","Stony Brook University","1486"
"60104653","Université Grenoble Alpes","1595"
"60007174","Lawrence Berkeley National Laboratory","1581"
"60000762","Humboldt-Universität zu Berlin","1511"
"60014256","University of Tsukuba","1555"
"60028900","National and Kapodistrian University of Athens","1611"
"60002014","The Royal Institute of Technology (KTH)","1489"
"60021121","Indiana University Bloomington","1480"
"60002644","Universitat de València","1490"
"60025153","Università degli Studi di Genova","1565"
"60014313","University of Massachusetts Amherst","1531"
"60022109","Queen Mary University of London","1566"
"60015331","Aristotle University of Thessaloniki","1474"
"60028378","Stockholms universitet","1514"
"60026796","Universidad Autónoma de Madrid","1539"
"60004718","Université de Genève","1657"
"60016529","Radboud Universiteit","1490"
"60031216","Johannes Gutenberg-Universität Mainz","1522"
"60028609","Argonne National Laboratory","1768"
"60068815","University of Belgrade","1493"
"60001563","Universidad de Buenos Aires","1500"
"60027509","Università degli Studi di Roma "Tor Vergata"","1612"
"60158506","The Grainger College of Engineering","1475"
"60012689","Julius-Maximilians-Universität Würzburg","1521"
"60016218","University of the Witwatersrand, Johannesburg","1482"
"60015197","Università degli Studi di Pavia","1504"
"60029622","Universitetet i Bergen","1503"
"60033021","The University of New Mexico","1558"
"60007816","Commissariat a l'Energie Atomique et aux Energies Alternatives","1655"
"60018491","Simon Fraser University","1525"
"60017134","Justus-Liebig-Universität Gießen","1492"
"60023462","Waseda University","1573"
"60016969","Academia Sinica Taiwan","1553"
"60033420","York University","1492"
"60006221","Brookhaven National Laboratory","1519"
"60023143","Tufts University","1609"
"60019778","Organisation Européenne pour la Recherche Nucléaire","1635"
"60024941","University of California, Santa Cruz","1572"
"60029681","Pontificia Universidad Católica de Chile","2232"
"60000717","University of Johannesburg","1473"
"60002947","National Technical University of Athens (NTUA)","1495"
"60009999","Universität Innsbruck","1506"
"60017351","AGH University of Krakow","1511"
"60013323","Czech Technical University in Prague","1517"
"60032991","Technische Universität Dortmund","1571"
"60001987","Univerzita Komenského v Bratislave","1589"
"60032057","Universidad Nacional de La Plata","1510"
"60021660","Istituto Nazionale di Fisica Nucleare - INFN","1792"
"60156116","University of Pennsylvania School of Arts and Sciences","1479"
"60030635","Deutsches Elektronen-Synchrotron (DESY)","1530"
"60023254","Rutherford Appleton Laboratory","1491"
"60012630","Università degli Studi Roma Tre","1471"
"60003367","Palacký University Olomouc","1490"
"60025995","IN2P3 - Institut National de Physique Nucléaire et de Physique Des Particules","1801"
"60027631","Institute of High Energy Physics, Chinese Academy of Sciences","1516"
"60025965","Università degli Studi di Udine","1535"
"60023955","Institut "Jožef Stefan"","1512"
"60025590","SLAC National Accelerator Laboratory","1540"
"60016247","Brandeis University","1486"
"60003218","High Energy Accelerator Research Organization, Tsukuba","1499"
"60016576","Institute of Physics of the Czech Academy of Sciences","1538"
"60022995","Bergische Universität Wuppertal","1512"
"60005803","Boğaziçi Üniversitesi","1477"
"60017041","Niels Bohr Institutet","1470"
"60016340","INFN, Laboratori Nazionali Di Frascati","1774"
"60027337","Henryk Niewodniczanski Institute of Nuclear Physics of the Polish Academy of Sciences","1504"
"60019513","Université Savoie Mont Blanc","1490"
"60114755","Istituto Nazionale di Fisica Nucleare, Sezione di Milano","1482"
"60114720","Istituto Nazionale di Fisica Nucleare, Sezione di Bologna","1593"
"60113231","Istituto Nazionale di Fisica Nucleare, Sezione di Napoli","1550"
"60113665","Istituto Nazionale di Fisica Nucleare, Sezione di Pisa","1610"
"60106133","Institut de Recherche sur les Lois Fondamentales de l'Univers","1670"
"60153187","College of Letters & Science","1471"
"60013557","CSIC-UV - Instituto de Física Corpuscular (IFIC)","1567"
"60008743","Max Planck Institute for Physics (Werner Heisenberg Institute)","1486"
"60025597","The Enrico Fermi Institute","1590"
"60114732","Istituto Nazionale di Fisica Nucleare, Sezione di Genova","1662"
"60000731","TRIUMF","1528"
"60017396","Academia Sinica, Institute Of Physics","1551"
"60114685","Istituto Nazionale di Fisica Nucleare, Sezione di Pavia","1546"
"60026070","Laboratoire de Physique Subatomique et de Cosmologie de Grenoble","1518"
"60157983","Laboratoire de Physique Nucléaire et de Hautes Energies","1567"
"60019232","Institut de Física d'Altes Energies, Bellaterra","1593"
"60013982","Institute of Experimental Physics Slovak Academy of Sciences","1556"
"60107094","Centre de Physique des Particules de Marseille","1524"
"60085982","Santa Cruz Institute for Particle Physics","1488"
"60114688","Istituto Nazionale di Fisica Nucleare, Sezione di Roma Tor Vergata","1536"
