"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Maureira D.; Wilson L.; Guzmán H.; Tommasi T.; Fino D.; Hernández S.; Ottone C.","Maureira, Diego (57202004838); Wilson, Lorena (7403520925); Guzmán, Hilmar (57215382985); Tommasi, Tonia (25724727000); Fino, Debora (6603706724); Hernández, Simelys (23978104200); Ottone, Carminna (56120084100)","57202004838; 7403520925; 57215382985; 25724727000; 6603706724; 23978104200; 56120084100","Cu and SnO2-Modified Carbon Felt for Electroenzymatic CO2 Upcycling","2026","ChemSusChem","19","8","e202502316","","","0","10.1002/cssc.202502316","https://www.scopus.com/pages/publications/105036472468?origin=resultslist","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105036472468"
"Celedón S.; Roisnel T.; Artigas V.; Fuentealba M.; Carrillo D.; Ledoux-Rak I.; Hamon J.-R.; Manzur C.","Celedón, Salvador (25642504000); Roisnel, Thierry (7003907744); Artigas, Vania (56556470800); Fuentealba, Mauricio (7801538556); Carrillo, David (7004301883); Ledoux-Rak, Isabelle (7005079715); Hamon, Jean-René (57208457603); Manzur, Carolina (6601982179)","25642504000; 7003907744; 56556470800; 7801538556; 7004301883; 7005079715; 57208457603; 6601982179","Palladium(ii) complexes of tetradentate donor-acceptor Schiff base ligands: Synthesis and spectral, structural, thermal and NLO properties","2020","New Journal of Chemistry","44","22","","9190","9201","19","10.1039/d0nj01982h","https://www.scopus.com/pages/publications/85090133989?origin=resultslist","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85090133989"
"Mussagy C.U.; Caicedo-Paz A.V.; Ramos N.F.; Diaz A.C.; Cubo M.F.; Arantes M.S.; Lima N.P.; Ribeiro I.S.; Haminiuk C.W.I.; Franco M.; Farias F.O.","Mussagy, Cassamo U. (57205156967); Caicedo-Paz, Angie V. (58030292900); Ramos, Nataly F. (58909082800); Diaz, Antonia C. (60333283700); Cubo, Mateus F. (57221938246); Arantes, Matheus S. (57889293600); Lima, Nayara P. (59218383200); Ribeiro, Isabela S. (58181428900); Haminiuk, Charles W.I. (10939458300); Franco, Marcelo (56207496400); Farias, Fabiane O. (57194337358)","57205156967; 58030292900; 58909082800; 60333283700; 57221938246; 57889293600; 59218383200; 58181428900; 10939458300; 56207496400; 57194337358","Tailored natural deep eutectic solvents for isolation of astaxanthin from Paracoccus carotinifaciens and one-pot synthesis of functional ingredients for biotechnological applications","2026","Bioresource Technology","442","","133704","","","0","10.1016/j.biortech.2025.133704","https://www.scopus.com/pages/publications/105027402605?origin=resultslist","Article","Final","","Scopus","2-s2.0-105027402605"
"González-Pereira P.; Trinh R.; Vasuthasawat A.; Bartsch-Jiménez A.; Nuñez-Soto C.; Altamirano C.","González-Pereira, Priscilla (58955787100); Trinh, Ryan (6506616103); Vasuthasawat, Alex (26325974700); Bartsch-Jiménez, Angelo (58135240500); Nuñez-Soto, Constanza (57194037311); Altamirano, Claudia (8332398700)","58955787100; 6506616103; 26325974700; 58135240500; 57194037311; 8332398700","Enhancing Antibody-Specific Productivity: Unraveling the Impact of XBP1s Overexpression and Glutamine Availability in SP2/0 Cells","2024","Bioengineering","11","3","201","","","0","10.3390/bioengineering11030201","https://www.scopus.com/pages/publications/85188726767?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85188726767"
"Silva J.; Ortiz R.; Carrasco S.; Aroca G.","Silva, J. (7403023118); Ortiz, R. (59506121300); Carrasco, S. (57204606950); Aroca, G. (6603177229)","7403023118; 59506121300; 57204606950; 6603177229","A TWO-PARAMETER MODEL FOR THE DETERMINATION OF THE PARTITION COEFFICIENT FOR TOTAL REDUCE COMPOUNDS IN A CULTURE MEDIUM","2022","Latin American Applied Research","52","1","","15","20","0","10.52292/j.laar.2022.584","https://www.scopus.com/pages/publications/85123640528?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85123640528"
"Bugueño I.; Carvallo J.; Vielma J.C.","Bugueño, Ignacio (57433397600); Carvallo, Jorge (57207566888); Vielma, Juan Carlos (57216408783)","57433397600; 57207566888; 57216408783","Influence of Directionality on the Seismic Response of Typical RC Buildings","2022","Applied Sciences (Switzerland)","12","3","1534","","","13","10.3390/app12031534","https://www.scopus.com/pages/publications/85123752473?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85123752473"
"Aguilar-Muñoz P.; Lavergne C.; Chamy R.; Cabrol L.","Aguilar-Muñoz, P. (57223053567); Lavergne, C. (55657103600); Chamy, R. (6603874955); Cabrol, L. (26642315400)","57223053567; 55657103600; 6603874955; 26642315400","The biotechnological potential of microbial communities from Antarctic soils and sediments: Application to low temperature biogenic methane production","2022","Journal of Biotechnology","351","","","38","49","12","10.1016/j.jbiotec.2022.04.014","https://www.scopus.com/pages/publications/85129462776?origin=resultslist","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85129462776"
"Schanze E.; Leiva G.; Gómez M.; Lopez A.","Schanze, Edmundo (57222811889); Leiva, Gilberto (57250353900); Gómez, Miguel (57222013376); Lopez, Alvaro (57203782718)","57222811889; 57250353900; 57222013376; 57203782718","Numerical study of the seismic response of an instrumented building with underground stories","2021","Applied Sciences (Switzerland)","11","7","3190","","","9","10.3390/app11073190","https://www.scopus.com/pages/publications/85104080953?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85104080953"
"Fernandez L.; Correa D.; Seguel M.; Suarez C.; Bustamante M.; Caro C.; Jana P.; Leyton P.; Trudel S.; Cabello-Guzmán G.","Fernandez, Luis (57290304900); Correa, Diana (57203593092); Seguel, Mathias (56592796000); Suarez, Cristian (58171998300); Bustamante, Martin (59004098200); Caro, Claudia (7006058112); Jana, Patricia (59003689900); Leyton, Patricio (6506800698); Trudel, Simon (14029402900); Cabello-Guzmán, Gerardo (9844991600)","57290304900; 57203593092; 56592796000; 58171998300; 59004098200; 7006058112; 59003689900; 6506800698; 14029402900; 9844991600","Catalytic photo-degradation of brilliant green and bacterial disinfection of Escherichia coli by the action of Y2Ti2O7/AgO films","2024","Ceramics International","50","14","","25241","25255","5","10.1016/j.ceramint.2024.04.255","https://www.scopus.com/pages/publications/85191519748?origin=resultslist","Article","Final","","Scopus","2-s2.0-85191519748"
"Guerrero M.; Marican A.; Rafael D.; Andrade F.; Moore-Carrasco R.; Vijayakumar S.; Salinas P.; Cabrera-Barjas G.; Lara J.; Durán-Lara E.F.","Guerrero, Marcelo (55765102600); Marican, Adolfo (14834222500); Rafael, Diana (57194480054); Andrade, Fernanda (37098680600); Moore-Carrasco, Rodrigo (6506091308); Vijayakumar, Sekar (57021080900); Salinas, Paulo (55759188100); Cabrera-Barjas, Gustavo (57217424937); Lara, Juan (59694827100); Durán-Lara, Esteban F. (33367889300)","55765102600; 14834222500; 57194480054; 37098680600; 6506091308; 57021080900; 55759188100; 57217424937; 59694827100; 33367889300","On-demand dual-stimuli-responsive hydrogels for localized and sustained delivery of MP-L [I5R8] to treat bacterial wound infections","2025","Colloids and Surfaces B: Biointerfaces","251","","114636","","","9","10.1016/j.colsurfb.2025.114636","https://www.scopus.com/pages/publications/105000187144?origin=resultslist","Article","Final","","Scopus","2-s2.0-105000187144"
