"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Saltos R.; Weber R.; Saltos D.","Saltos, Ramiro (57188860478); Weber, Richard (7403384946); Saltos, Dayana (59226424900)","57188860478; 7403384946; 59226424900","FuSVC: A New Labeling Rule for Support Vector Clustering Using Fuzzy Sets","2024","IEEE Transactions on Fuzzy Systems","32","10","","5777","5790","1","10.1109/TFUZZ.2024.3428354","https://www.scopus.com/pages/publications/85199075781?origin=resultslist","Article","Final","","Scopus","2-s2.0-85199075781"
"Montecinos C.; Lira R.","Montecinos, Carmen (6602514529); Lira, Robinson (60126110700)","6602514529; 60126110700","Educational (De)Centralization and School Leadership in Chile","2025","Education Sciences","15","9","1173","","","0","10.3390/educsci15091173","https://www.scopus.com/pages/publications/105017830703?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105017830703"
"Olivares R.; Ravelo C.; Soto R.; Crawford B.","Olivares, Rodrigo (55096374700); Ravelo, Camilo (58668585600); Soto, Ricardo (24403038600); Crawford, Broderick (23395875300)","55096374700; 58668585600; 24403038600; 23395875300","Escaping Stagnation through Improved Orca Predator Algorithm with Deep Reinforcement Learning for Feature Selection","2024","Mathematics","12","8","1249","","","5","10.3390/math12081249","https://www.scopus.com/pages/publications/85191503153?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85191503153"
"Cubillos C.; Mellado R.; Nóbile C.","Cubillos, Claudio (23392232700); Mellado, Rafael (57193062452); Nóbile, Cecilia (58068091900)","23392232700; 57193062452; 58068091900","Is Gamification Effective for Women Who Wish to Learn Computer Programming?","2025","Human Behavior and Emerging Technologies","2025","1","6410654","","","0","10.1155/hbe2/6410654","https://www.scopus.com/pages/publications/105001045314?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105001045314"
"Araya-Ugarte G.; Armesto-Céspedes M.; Contreras-Barraza N.; Vega-Muñoz A.; Salazar-Sepúlveda G.; Lay N.","Araya-Ugarte, Guillermo (60045475800); Armesto-Céspedes, Miguel (60026428700); Contreras-Barraza, Nicolás (57222871126); Vega-Muñoz, Alejandro (59665602600); Salazar-Sepúlveda, Guido (57219800835); Lay, Nelson (57217158970)","60045475800; 60026428700; 57222871126; 59665602600; 57219800835; 57217158970","Contextual Study of Technostress in Higher Education: Psychometric Evidence for the TS4US Scale from Lima, Peru","2025","Sustainability (Switzerland)","17","15","6974","","","3","10.3390/su17156974","https://www.scopus.com/pages/publications/105013348598?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105013348598"
"Puraivan E.; Cofré-Morales C.; Rodríguez M.; Lasnibat-Godoy T.; Tapia J.; Hervás-Gómez C.; Díaz-Noguera M.D.","Puraivan, Eduardo (57205337937); Cofré-Morales, Connie (59494300700); Rodríguez, Miguel (57474855300); Lasnibat-Godoy, Tamara (59656678600); Tapia, Juan (59657092200); Hervás-Gómez, Carlos (57211521597); Díaz-Noguera, María Dolores (56358994400)","57205337937; 59494300700; 57474855300; 59656678600; 59657092200; 57211521597; 56358994400","ChatGPT and Semiotic Representation Theory: Innovating the Measurement of Cognitive Demand in Mathematical Tasks","2025","Lecture Notes in Networks and Systems","1259","","","230","240","0","10.1007/978-3-031-82073-1_23","https://www.scopus.com/pages/publications/85218975170?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85218975170"
"Lefranc G.; Peña-Cabrera M.; Osorio-Comparán R.; López-Juárez I.","Lefranc, G. (7005019896); Peña-Cabrera, M. (55995884200); Osorio-Comparán, R. (24470341200); López-Juárez, I. (6507474784)","7005019896; 55995884200; 24470341200; 6507474784","Advanced Decision-Making Strategies and Technologies for Manufacturing: Case Studies, and Future Research Directions","2025","International Journal of Computers, Communications and Control","20","1","6906","","","2","10.15837/ijccc.2025.1.6906","https://www.scopus.com/pages/publications/85215412006?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85215412006"
"Díaz N.; Beniwal M.; Guzmán F.; Marquez M.; Liang J.; Vera E.","Díaz, Nelson (57040707600); Beniwal, Madhu (59342069600); Guzmán, Felipe (57207037799); Marquez, Miguel (57190760886); Liang, Jinyang (35759354600); Vera, Esteban (20435009000)","57040707600; 59342069600; 57207037799; 57190760886; 35759354600; 20435009000","Binary Coded Aperture Design by Sphere Packing in Compressive Ultrafast Photography","2024","Laser Applications to Chemical, Security and Environmental Analysis, LACSEA 2024 in Proceedings Optica Sensing Congress 2024, AIS, LACSEA, Sensors, QSM - Part of Optica Sensing Congress","","","","","","0","","https://www.scopus.com/pages/publications/85204983265?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85204983265"
"Díaz N.; Beniwal M.; Guzmán F.; Marquez M.; Liang J.; Vera E.","Díaz, Nelson (57040707600); Beniwal, Madhu (59342069600); Guzmán, Felipe (57207037799); Marquez, Miguel (57190760886); Liang, Jinyang (35759354600); Vera, Esteban (20435009000)","57040707600; 59342069600; 57207037799; 57190760886; 35759354600; 20435009000","Binary Coded Aperture Design by Sphere Packing in Compressive Ultrafast Photography","2024","Quantum Sensing and Metrology, QSM 2024 in Proceedings Optica Sensing Congress 2024, AIS, LACSEA, Sensors, QSM - Part of Optica Sensing Congress","","","","","","0","10.1364/3d.2024.jf3a.4","https://www.scopus.com/pages/publications/85211713151?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85211713151"
"Kchaou M.; Castro C.; Abbassi R.; Leiva V.; Jerbi H.","Kchaou, Mourad (36499384200); Castro, Cecilia (58862389400); Abbassi, Rabeh (27567490600); Leiva, Víctor (22953630400); Jerbi, Houssem (6603077189)","36499384200; 58862389400; 27567490600; 22953630400; 6603077189","Security Control for a Fuzzy System under Dynamic Protocols and Cyber-Attacks with Engineering Applications","2024","Mathematics","12","13","2112","","","5","10.3390/math12132112","https://www.scopus.com/pages/publications/85198449751?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85198449751"
