"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Gorup L.F.; Perlatti B.; Kuznetsov A.; Nascente P.A.D.P.; Wendler E.P.; Dos Santos A.A.; Padilha Barros W.R.; Sequinel T.; Tomitao I.D.M.; Kubo A.M.; Longo E.; Camargo E.R.","Gorup, Luiz Fernando (26658481300); Perlatti, Bruno (55430897000); Kuznetsov, Aleksey (57192936699); Nascente, Pedro Augusto De Paula (6604030527); Wendler, Edison Perevalo (22952252300); Dos Santos, Alcindo A. (35568145300); Padilha Barros, Willyam Róger (55701996900); Sequinel, Thiago (33267843100); Tomitao, Isabela De Macedo (57214934176); Kubo, Andressa Mayumi (57190296082); Longo, Elson (7103022316); Camargo, Emerson Rodrigues (7102485529)","26658481300; 55430897000; 57192936699; 6604030527; 22952252300; 35568145300; 55701996900; 33267843100; 57214934176; 57190296082; 7103022316; 7102485529","Stability of di-butyl-dichalcogenide-capped gold nanoparticles: Experimental data and theoretical insights","2020","RSC Advances","10","11","","6259","6270","14","10.1039/c9ra07147d","https://www.scopus.com/pages/publications/85079526820?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85079526820"
"Valencia P.; Ibañez F.","Valencia, Pedro (57201824872); Ibañez, Francisco (57225115758)","57201824872; 57225115758","Estimation of the effectiveness factor for immobilized enzyme catalysts through a simple conversion assay","2019","Catalysts","9","11","930","","","11","10.3390/catal9110930","https://www.scopus.com/pages/publications/85075161796?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85075161796"
"Sáez-Delgado F.; Mella-Norambuena J.; López-Angulo Y.; León-Ron V.","Sáez-Delgado, Fabiola (57205729343); Mella-Norambuena, Javier (57220104352); López-Angulo, Yaranay (57218448927); León-Ron, Verónica (57223132002)","57205729343; 57220104352; 57218448927; 57223132002","Scales to measure self-regulated learning phases in secondary school students; [Escalas para medir las fases de autorregulación del aprendizaje en estudiantes de secundaria]","2021","Informacion Tecnologica","32","2","","41","50","17","10.4067/S0718-07642021000200041","https://www.scopus.com/pages/publications/85105016914?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85105016914"
"Rodríguez-Blanco T.; Sarabia D.; Navia D.; de Prada C.","Rodríguez-Blanco, Tania (57050236200); Sarabia, Daniel (22981364500); Navia, Daniel (55263003900); de Prada, César (6603379715)","57050236200; 22981364500; 55263003900; 6603379715","Efficient Nested Modifier Adaptation for RTO using Lagrangian functions","2017","Computer Aided Chemical Engineering","40","","","1723","1728","0","10.1016/B978-0-444-63965-3.50289-0","https://www.scopus.com/pages/publications/85041422283?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-85041422283"
"Lauzurique Y.; Segura S.; Guerra S.; Carvajal A.; Huiliñir C.; Poblete-Castro I.","Lauzurique, Yeney (57225882014); Segura, Sofia (59257778700); Guerra, Silvana (59257890400); Carvajal, Andrea (52063234100); Huiliñir, Cesar (57216785072); Poblete-Castro, Ignacio (54973889700)","57225882014; 59257778700; 59257890400; 52063234100; 57216785072; 54973889700","Enhancing methane production using various forms of steel shavings and their effect on microbial consortia during anaerobic digestion of swine wastewater","2024","Journal of Environmental Chemical Engineering","12","5","113764","","","10","10.1016/j.jece.2024.113764","https://www.scopus.com/pages/publications/85201110353?origin=resultslist","Article","Final","","Scopus","2-s2.0-85201110353"
"Bubnovich V.; Hernandez H.; Toledo M.; Flores C.","Bubnovich, V. (35562140300); Hernandez, H. (57221631503); Toledo, M. (58984742000); Flores, C. (57221635733)","35562140300; 57221631503; 58984742000; 57221635733","Experimental investigation of flame stability in the premixed propane-air combustion in two-section porous media burner","2021","Fuel","291","","120117","","","50","10.1016/j.fuel.2020.120117","https://www.scopus.com/pages/publications/85099665479?origin=resultslist","Article","Final","","Scopus","2-s2.0-85099665479"
"Espinoza-Cartagena F.; Ormazábal-Latorre S.; Pazo-Carballo C.; Gajardo-Parra N.F.; Núñez G.A.; Garrido J.M.; Cea-Klapp E.; Santiago R.; Held C.; Canales R.I.","Espinoza-Cartagena, Franco (58523345300); Ormazábal-Latorre, Sebastián (22035782300); Pazo-Carballo, César (57217833201); Gajardo-Parra, Nicolás F. (57206894689); Núñez, Gonzalo A. (18437589700); Garrido, José Matías (56343679600); Cea-Klapp, Esteban (57204791869); Santiago, Rubén (57200411500); Held, Christoph (60253881400); Canales, Roberto I. (56619042400)","58523345300; 22035782300; 57217833201; 57206894689; 18437589700; 56343679600; 57204791869; 57200411500; 60253881400; 56619042400","Separation of Isoeugenol from Methylcyclohexane as a Model Mixture of Biojet Fuel Purification: Solvent Selection and Liquid-Liquid Equilibrium","2023","Industrial and Engineering Chemistry Research","62","30","","12006","12020","3","10.1021/acs.iecr.3c01440","https://www.scopus.com/pages/publications/85166766003?origin=resultslist","Article","Final","","Scopus","2-s2.0-85166766003"
"Schanze E.; Leiva G.; Gómez M.; Lopez A.","Schanze, Edmundo (57222811889); Leiva, Gilberto (57250353900); Gómez, Miguel (57222013376); Lopez, Alvaro (57203782718)","57222811889; 57250353900; 57222013376; 57203782718","Numerical study of the seismic response of an instrumented building with underground stories","2021","Applied Sciences (Switzerland)","11","7","3190","","","9","10.3390/app11073190","https://www.scopus.com/pages/publications/85104080953?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85104080953"
"Bravo L.; Ampuero M.; Correa-Puerta J.; Corrales T.P.; Flores S.; Schleyer B.; Hassan N.; Häberle P.; Henríquez R.; del Campo V.","Bravo, Luciano (59400009900); Ampuero, Martín (59399838300); Correa-Puerta, Jonathan (56162308100); Corrales, Tomás P. (54884299600); Flores, Sofía (59399661200); Schleyer, Benjamín (59399661300); Hassan, Natalia (36611719700); Häberle, Patricio (6602338067); Henríquez, Ricardo (12787744700); del Campo, Valeria (35304707500)","59400009900; 59399838300; 56162308100; 54884299600; 59399661200; 59399661300; 36611719700; 6602338067; 12787744700; 35304707500","Glass Surface Nanostructuring by Soft Lithography and Chemical Etching","2024","Nanomaterials","14","21","1714","","","4","10.3390/nano14211714","https://www.scopus.com/pages/publications/85208414099?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85208414099"
"Valencia P.L.; Sepúlveda B.; Gajardo D.; Astudillo-Castro C.","Valencia, Pedro L. (57201824872); Sepúlveda, Bastián (57218375798); Gajardo, Diego (57193254410); Astudillo-Castro, Carolina (7004510679)","57201824872; 57218375798; 57193254410; 7004510679","Estimating the product inhibition constant from enzyme kinetic equations using the direct linear plot method in one-stage treatment","2020","Catalysts","10","8","853","","","2","10.3390/catal10080853","https://www.scopus.com/pages/publications/85088976611?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85088976611"
