university,pub_year,papers,citations,cit_per_paper
PUCV,1962,1,6,6.0
PUCV,1971,2,37,18.5
PUCV,1977,1,33,33.0
PUCV,1979,1,10,10.0
PUCV,1980,1,8,8.0
PUCV,1981,2,14,7.0
PUCV,1982,1,9,9.0
PUCV,1983,3,26,8.666666666666666
PUCV,1985,5,36,7.2
PUCV,1986,6,49,8.166666666666666
PUCV,1987,7,78,11.142857142857142
PUCV,1988,3,22,7.333333333333333
PUCV,1989,6,127,21.166666666666668
PUCV,1990,5,85,17.0
PUCV,1991,3,33,11.0
PUCV,1992,5,92,18.4
PUCV,1993,6,84,14.0
PUCV,1994,5,226,45.2
PUCV,1995,6,102,17.0
PUCV,1996,10,140,14.0
PUCV,1997,5,139,27.8
PUCV,1998,10,162,16.2
PUCV,1999,11,156,14.181818181818182
PUCV,2000,7,161,23.0
PUCV,2001,14,439,31.357142857142858
PUCV,2002,19,439,23.105263157894736
PUCV,2003,18,1068,59.333333333333336
PUCV,2004,21,885,42.142857142857146
PUCV,2005,28,623,22.25
PUCV,2006,40,1468,36.7
PUCV,2007,54,724,13.407407407407407
PUCV,2008,69,1179,17.08695652173913
PUCV,2009,113,1535,13.584070796460177
PUCV,2010,72,1926,26.75
PUCV,2011,92,2289,24.880434782608695
PUCV,2012,100,2254,22.54
PUCV,2013,120,2321,19.341666666666665
PUCV,2014,128,1656,12.9375
PUCV,2015,180,2567,14.261111111111111
PUCV,2016,229,2440,10.655021834061136
PUCV,2017,194,3599,18.551546391752577
PUCV,2018,260,4360,16.76923076923077
PUCV,2019,244,3770,15.450819672131148
PUCV,2020,303,5764,19.023102310231025
PUCV,2021,335,5296,15.808955223880597
PUCV,2022,281,3182,11.323843416370106
PUCV,2023,306,2906,9.49673202614379
PUCV,2024,330,1897,5.748484848484848
PUCV,2025,409,965,2.359413202933985
PUCV,2026,149,28,0.18791946308724833
USM,1966,1,0,0.0
USM,1967,2,35,17.5
USM,1971,1,9,9.0
USM,1975,1,21,21.0
USM,1977,1,16,16.0
USM,1979,1,18,18.0
USM,1982,1,15,15.0
USM,1983,4,18,4.5
USM,1984,8,56,7.0
USM,1985,8,17,2.125
USM,1986,7,20,2.857142857142857
USM,1987,6,111,18.5
USM,1988,6,398,66.33333333333333
USM,1989,6,48,8.0
USM,1990,5,8,1.6
USM,1991,1,1,1.0
USM,1992,7,194,27.714285714285715
USM,1993,9,123,13.666666666666666
USM,1994,11,121,11.0
USM,1995,10,64,6.4
USM,1996,10,149,14.9
USM,1997,9,106,11.777777777777779
USM,1998,13,362,27.846153846153847
USM,1999,12,269,22.416666666666668
USM,2000,29,439,15.137931034482758
USM,2001,33,738,22.363636363636363
USM,2002,49,9426,192.3673469387755
USM,2003,43,1029,23.930232558139537
USM,2004,62,1719,27.725806451612904
USM,2005,104,4065,39.08653846153846
USM,2006,94,2001,21.28723404255319
USM,2007,134,7600,56.71641791044776
USM,2008,138,6328,45.85507246376812
USM,2009,169,10957,64.83431952662721
USM,2010,169,15407,91.16568047337279
USM,2011,185,8030,43.4054054054054
USM,2012,236,11092,47.0
USM,2013,220,8747,39.75909090909091
USM,2014,278,7653,27.528776978417266
USM,2015,293,10834,36.97610921501707
USM,2016,339,10165,29.985250737463126
USM,2017,337,9669,28.69139465875371
USM,2018,330,7177,21.74848484848485
USM,2019,409,8295,20.281173594132028
USM,2020,435,8659,19.905747126436783
USM,2021,441,9068,20.56235827664399
USM,2022,346,5445,15.736994219653178
USM,2023,460,4387,9.53695652173913
USM,2024,466,2265,4.860515021459228
USM,2025,450,881,1.9577777777777778
USM,2026,147,25,0.17006802721088435
