"code","documentsCount","title"
"MEDI","3389","Medicine"
"PHYS","3064","Physics and Astronomy"
"SOCI","1924","Social Sciences"
"BIOC","1895","Biochemistry, Genetics and Molecular Biology"
"CHEM","1781","Chemistry"
"EART","1752","Earth and Planetary Sciences"
"ENGI","1716","Engineering"
"AGRI","1603","Agricultural and Biological Sciences"
"COMP","1318","Computer Science"
"ENVI","954","Environmental Science"
"IMMU","842","Immunology and Microbiology"
"ARTS","811","Arts and Humanities"
"MATH","808","Mathematics"
"HEAL","749","Health Professions"
"MATE","744","Materials Science"
"CENG","688","Chemical Engineering"
"PSYC","503","Psychology"
"ENER","502","Energy"
"NURS","467","Nursing"
"MULT","457","Multidisciplinary"
"PHAR","395","Pharmacology, Toxicology and Pharmaceutics"
"VETE","298","Veterinary"
"NEUR","284","Neuroscience"
"DENT","255","Dentistry"
"BUSI","188","Business, Management and Accounting"
"DECI","178","Decision Sciences"
"ECON","122","Economics, Econometrics and Finance"
