"code","documentsCount","title"
"MEDI","2423","Medicine"
"PHYS","1976","Physics and Astronomy"
"EART","1876","Earth and Planetary Sciences"
"SOCI","1087","Social Sciences"
"BIOC","1054","Biochemistry, Genetics and Molecular Biology"
"AGRI","968","Agricultural and Biological Sciences"
"COMP","924","Computer Science"
"MATH","910","Mathematics"
"ENGI","795","Engineering"
"ARTS","544","Arts and Humanities"
"ENVI","472","Environmental Science"
"NEUR","453","Neuroscience"
"CHEM","443","Chemistry"
"PHAR","318","Pharmacology, Toxicology and Pharmaceutics"
"MULT","291","Multidisciplinary"
"NURS","289","Nursing"
"PSYC","289","Psychology"
"CENG","285","Chemical Engineering"
"MATE","274","Materials Science"
"DECI","263","Decision Sciences"
"IMMU","230","Immunology and Microbiology"
"HEAL","172","Health Professions"
"DENT","155","Dentistry"
"BUSI","106","Business, Management and Accounting"
"ECON","88","Economics, Econometrics and Finance"
"ENER","85","Energy"
"VETE","44","Veterinary"
