"code","documentsCount","title"
"MEDI","18678","Medicine"
"BIOC","9963","Biochemistry, Genetics and Molecular Biology"
"SOCI","8314","Social Sciences"
"PHYS","8266","Physics and Astronomy"
"AGRI","8121","Agricultural and Biological Sciences"
"EART","7711","Earth and Planetary Sciences"
"COMP","6686","Computer Science"
"ENGI","6042","Engineering"
"MATH","5873","Mathematics"
"CHEM","5488","Chemistry"
"ENVI","4099","Environmental Science"
"ARTS","3748","Arts and Humanities"
"MATE","3394","Materials Science"
"IMMU","2708","Immunology and Microbiology"
"PHAR","2260","Pharmacology, Toxicology and Pharmaceutics"
"CENG","2039","Chemical Engineering"
"NEUR","1994","Neuroscience"
"NURS","1900","Nursing"
"MULT","1567","Multidisciplinary"
"PSYC","1379","Psychology"
"ECON","1335","Economics, Econometrics and Finance"
"BUSI","1193","Business, Management and Accounting"
"ENER","1142","Energy"
"DECI","1032","Decision Sciences"
"DENT","896","Dentistry"
"VETE","797","Veterinary"
"HEAL","773","Health Professions"
