"code","documentsCount","title"
"CHEM","3018","Chemistry"
"PHYS","2905","Physics and Astronomy"
"ENGI","2891","Engineering"
"MEDI","2746","Medicine"
"SOCI","2301","Social Sciences"
"MATE","2056","Materials Science"
"MATH","2030","Mathematics"
"COMP","1962","Computer Science"
"BIOC","1930","Biochemistry, Genetics and Molecular Biology"
"AGRI","1604","Agricultural and Biological Sciences"
"CENG","1557","Chemical Engineering"
"ARTS","1360","Arts and Humanities"
"ENVI","1130","Environmental Science"
"ENER","762","Energy"
"EART","740","Earth and Planetary Sciences"
"PHAR","551","Pharmacology, Toxicology and Pharmaceutics"
"IMMU","547","Immunology and Microbiology"
"PSYC","510","Psychology"
"HEAL","419","Health Professions"
"DECI","391","Decision Sciences"
"MULT","381","Multidisciplinary"
"BUSI","375","Business, Management and Accounting"
"NEUR","367","Neuroscience"
"ECON","332","Economics, Econometrics and Finance"
"NURS","285","Nursing"
"VETE","59","Veterinary"
"DENT","10","Dentistry"
