"code","documentsCount","title"
"MEDI","16478","Medicine"
"SOCI","8884","Social Sciences"
"PHYS","8749","Physics and Astronomy"
"BIOC","6228","Biochemistry, Genetics and Molecular Biology"
"ENGI","6215","Engineering"
"AGRI","6163","Agricultural and Biological Sciences"
"EART","5708","Earth and Planetary Sciences"
"ARTS","4346","Arts and Humanities"
"ENVI","4093","Environmental Science"
"CHEM","3543","Chemistry"
"MATH","3527","Mathematics"
"COMP","3468","Computer Science"
"MATE","2646","Materials Science"
"PSYC","1942","Psychology"
"NEUR","1603","Neuroscience"
"CENG","1513","Chemical Engineering"
"IMMU","1458","Immunology and Microbiology"
"ECON","1218","Economics, Econometrics and Finance"
"MULT","1216","Multidisciplinary"
"BUSI","1159","Business, Management and Accounting"
"ENER","1122","Energy"
"NURS","1117","Nursing"
"PHAR","1076","Pharmacology, Toxicology and Pharmaceutics"
"DECI","915","Decision Sciences"
"HEAL","541","Health Professions"
"VETE","227","Veterinary"
"DENT","162","Dentistry"
