"code","documentsCount","title"
"SOCI","3163","Social Sciences"
"ENGI","2507","Engineering"
"AGRI","2370","Agricultural and Biological Sciences"
"COMP","2173","Computer Science"
"PHYS","2168","Physics and Astronomy"
"MATH","1528","Mathematics"
"ARTS","1522","Arts and Humanities"
"BIOC","1484","Biochemistry, Genetics and Molecular Biology"
"ENVI","1400","Environmental Science"
"CHEM","1333","Chemistry"
"MEDI","1281","Medicine"
"EART","1195","Earth and Planetary Sciences"
"MATE","1128","Materials Science"
"CENG","966","Chemical Engineering"
"IMMU","660","Immunology and Microbiology"
"ENER","557","Energy"
"PSYC","398","Psychology"
"DECI","332","Decision Sciences"
"HEAL","288","Health Professions"
"MULT","283","Multidisciplinary"
"BUSI","277","Business, Management and Accounting"
"PHAR","236","Pharmacology, Toxicology and Pharmaceutics"
"NURS","140","Nursing"
"ECON","136","Economics, Econometrics and Finance"
"NEUR","129","Neuroscience"
"VETE","85","Veterinary"
"DENT","7","Dentistry"
