"code","documentsCount","title"
"PHYS","5086","Physics and Astronomy"
"ENGI","4829","Engineering"
"COMP","2712","Computer Science"
"MATH","2277","Mathematics"
"MATE","1342","Materials Science"
"CHEM","1155","Chemistry"
"ENER","1005","Energy"
"CENG","783","Chemical Engineering"
"EART","782","Earth and Planetary Sciences"
"ENVI","696","Environmental Science"
"AGRI","635","Agricultural and Biological Sciences"
"BIOC","584","Biochemistry, Genetics and Molecular Biology"
"SOCI","581","Social Sciences"
"MEDI","360","Medicine"
"DECI","340","Decision Sciences"
"MULT","245","Multidisciplinary"
"BUSI","212","Business, Management and Accounting"
"IMMU","176","Immunology and Microbiology"
"PHAR","167","Pharmacology, Toxicology and Pharmaceutics"
"ECON","164","Economics, Econometrics and Finance"
"ARTS","117","Arts and Humanities"
"NEUR","67","Neuroscience"
"HEAL","66","Health Professions"
"PSYC","46","Psychology"
"NURS","21","Nursing"
"VETE","9","Veterinary"
"DENT","1","Dentistry"
