Rank;Global Rank;Institution;Country;Sector
1;686;Pontificia Universidad Catolica de Chile;CHL;Universities
2;722;Universidad de Chile;CHL;Universities
3;2225;Universidad de Concepcion;CHL;Universities
4;3063;Pontificia Universidad Catolica de Valparaiso;CHL;Universities
5;3723;Universidad Austral de Chile;CHL;Universities
6;3816;Universidad Andres Bello, Chile;CHL;Universities
7;3973;Universidad de Talca;CHL;Universities
8;3991;Universidad Tecnica Federico Santa Maria;CHL;Universities
9;4216;Universidad del Desarrollo;CHL;Universities
10;4242;Universidad de Santiago de Chile;CHL;Universities
11;4332;Universidad de los Andes, Chile;CHL;Universities
12;4472;Universidad Mayor;CHL;Universities
13;4492;Universidad Autonoma de Chile;CHL;Universities
14;4992;Universidad de Antofagasta;CHL;Universities
14;4992;Universidad de la Frontera;CHL;Universities
16;5219;Universidad Adolfo Ibanez;CHL;Universities
17;5292;Universidad de Valparaiso;CHL;Universities
18;5452;Universidad de Tarapaca;CHL;Universities
19;5464;Universidad Tecnologica Metropolitana;CHL;Universities
20;5484;Universidad Diego Portales;CHL;Universities
21;5731;Universidad San Sebastian;CHL;Universities
22;6016;Universidad de La Serena;CHL;Universities
23;6107;Universidad Catolica del Norte;CHL;Universities
24;6135;Universidad Catolica del Maule;CHL;Universities
25;6262;Universidad del Bio-Bio;CHL;Universities
26;6449;Universidad Arturo Prat;CHL;Universities
27;6555;Universidad Central de Chile;CHL;Universities
28;6877;Universidad Catolica de Temuco;CHL;Universities
29;6965;Universidad Bernardo O'Higgins;CHL;Universities
30;7045;Universidad de Atacama;CHL;Universities
31;7065;Universidad Catolica de la Santisima Concepcion;CHL;Universities
32;7069;Universidad de Playa Ancha;CHL;Universities
33;7098;Universidad Santo Tomas, Chile;CHL;Universities
34;7175;Universidad Finis Terrae;CHL;Universities
35;7478;Universidad de Magallanes;CHL;Universities
36;7538;Universidad de Los Lagos;CHL;Universities
37;7589;Universidad Alberto Hurtado;CHL;Universities
38;7625;Universidad de Las Americas, Chile;CHL;Universities
39;7934;Universidad de O'Higgins;CHL;Universities
40;7998;Universidad Metropolitana de Ciencias de la Educacion;CHL;Universities
41;8483;Centro de Ecologia Aplicada y Sustentabilidad;CHL;Universities
42;8812;Centro para el Desarrollo de la Nanociencia y la Nanotecnologia;CHL;Universities
