ID,Institucion,years,idp,lang,excel_lider,normalized_impact,normalized_impact_leadership,output,stp,lider,colab,q1,excel,ik,tech_impact,patents,open_access,not_own_journals_output,own_journals,plumx,mendeley,overton,sdg,female_stp
1150,Pontificia Universidad Catolica de Chile,2014-2018,1150,all,713,1.34073,0.82,13160,8376,7249,7533,6999,2147,474,3.92,160,61.64133738601824,12634,20,2011,12433,956,872,3093
1150,Pontificia Universidad Catolica de Chile,2015-2019,1150,all,745,1.33939,0.83263,13811,8598,7475,8009,7461,2233,445,3.52,161,62.051987546158855,13295,23,2303,13076,973,1799,3203
1150,Pontificia Universidad Catolica de Chile,2016-2020,1150,all,788,1.34197,0.84129,14880,9581,7949,8702,8101,2375,395,2.9,147,63.15860215053763,14389,23,2661,14110,974,2989,3460
1150,Pontificia Universidad Catolica de Chile,2017-2021,1150,all,800,1.30033,0.8487,15754,10145,8348,9197,8754,2436,335,2.33,146,64.87876094960009,15302,22,3125,14887,918,4301,3709
1150,Pontificia Universidad Catolica de Chile,2018-2022,1150,all,814,1.27142,0.84524,16419,10591,8531,9604,9142,2465,250,1.67,150,65.77136244594676,16012,22,3308,15412,784,5508,3911
1150,Pontificia Universidad Catolica de Chile,2019-2023,1150,all,801,1.20949,0.82179,16831,10828,8564,9923,9532,2399,176,1.15,115,65.58730913195889,16451,22,3323,15339,606,5901,4090
1151,Pontificia Universidad Catolica de Valparaiso,2014-2018,1151,all,150,0.86757,0.69769,3421,1782,2006,1816,1215,326,92,2.94,17,56.357790119848,3310,6,379,3205,131,223,637
1151,Pontificia Universidad Catolica de Valparaiso,2015-2019,1151,all,179,0.88839,0.73978,3783,1963,2194,2060,1417,376,91,2.62,17,57.7319587628866,3678,6,500,3565,137,457,691
1151,Pontificia Universidad Catolica de Valparaiso,2016-2020,1151,all,213,0.92066,0.75441,4235,2132,2359,2316,1683,474,92,2.35,16,60.47225501770956,4126,6,658,3995,155,753,771
1151,Pontificia Universidad Catolica de Valparaiso,2017-2021,1151,all,248,0.94436,0.78376,4596,2263,2441,2498,1982,571,77,1.81,17,63.51174934725849,4489,6,831,4331,143,1080,833
1151,Pontificia Universidad Catolica de Valparaiso,2018-2022,1151,all,264,0.91941,0.78576,4910,2422,2536,2692,2183,607,65,1.43,15,66.21181262729124,4796,6,946,4574,127,1397,913
