year,Rank,Name,No. of FTE students,No. of students per staff,International students,Female:Male ratio
2023,401–500,Pontificia Universidad Católica de Chile,"31,578",16.0,4%,
2023,601–800,Universidad del Desarrollo,"15,933",15.9,3%,56 : 44
2023,601–800,University of Antofagasta,"8,083",20.4,2%,56 : 44
2023,801–1000,Diego Portales University,"17,613",16.0,2%,50 : 50
2023,801–1000,Universidad Autónoma de Chile,"27,474",22.9,1%,63 : 37
2023,801–1000,University of La Serena,"7,643",25.5,1%,52 : 48
2023,1001–1200,University of Chile,"37,286",15.5,5%,50 : 50
2023,1201–1500,Adolfo Ibáñez University,"10,573",25.7,5%,38 : 62
2023,1201–1500,Austral University of Chile,"17,434",17.5,1%,53 : 47
2023,1201–1500,Catholic University of the North,"11,343",20.4,3%,47 : 53
2023,1201–1500,Federico Santa María Technical University,"22,405",30.0,3%,26 : 74
2023,1201–1500,Pontifical Catholic University of Valparaíso,"17,703",26.6,1%,43 : 57
2023,1201–1500,Universidad Andrés Bello (UNAB),"46,325",19.5,4%,54 : 46
2023,1201–1500,University of Concepción,"28,112",17.1,2%,52 : 48
2023,1201–1500,University of La Frontera,"11,053",22.0,1%,50 : 50
2023,1201–1500,"University of Santiago, Chile (USACH)","23,419",22.5,2%,44 : 56
2023,1201–1500,University of Talca,"11,372",12.5,1%,51 : 49
2023,1201–1500,University of Tarapacá,"9,758",30.2,3%,54 : 46
2023,1201–1500,"University of the Andes, Chile","9,405",18.9,3%,58 : 42
2023,1501+,San Sebastián University,"19,858",10.4,0%,61 : 39
2023,1501+,Temuco Catholic University,"10,629",12.3,1%,60 : 40
2023,1501+,University of Bío-Bío,"12,343",24.8,1%,43 : 57
2023,1501+,University of Valparaíso,"16,371",18.3,2%,58 : 42
2023,Reporter,Bernardo O’Higgins University,"7,554",18.1,4%,66 : 34
2023,Reporter,Universidad Mayor,"20,330",11.0,2%,57 : 43
2023,Reporter,University of Los Lagos,"5,567",16.6,0%,58 : 42
