year,Rank,Name,No. of FTE students,No. of students per staff,International students,Female:Male ratio
2017,401-500,Federico Santa María Technical University,"18,424",28.3,2%,22 : 78
2017,401-500,Pontificia Universidad Católica de Chile,"26,188",15.6,7%,
2017,501-600,University of Chile,"38,079",17.4,4%,47 : 53
2017,601-800,Austral University of Chile,"14,061",17.1,2%,49 : 51
2017,601-800,University of Concepción,"26,253",17.6,1%,50 : 50
2017,601-800,Diego Portales University,"15,868",14.2,2%,48 : 52
2017,601-800,University of La Frontera,"9,731",24.9,1%,44 : 56
2017,801+,Pontifical Catholic University of Valparaíso,"15,241",25.0,1%,44 : 56
2017,801+,"University of Santiago, Chile (USACH)","22,720",20.7,1%,40 : 60
2017,801+,University of Talca,"10,436",25.1,1%,50 : 50
