year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
2017,401-500,Federico Santa María Technical University,32.6—37.5,14.2,10.8,69.0,41.0,54.7
2017,401-500,Pontificia Universidad Católica de Chile,32.6—37.5,27.5,23.0,41.8,35.7,53.2
2017,501-600,University of Chile,27.6—32.5,25.4,18.4,36.9,32.1,46.7
2017,601-800,Austral University of Chile,18.6—27.5,16.6,9.8,20.0,43.8,47.4
2017,601-800,University of Concepción,18.6—27.5,15.5,13.0,20.8,56.4,46.2
2017,601-800,Diego Portales University,18.6—27.5,11.8,8.5,52.2,32.8,48.6
2017,601-800,University of La Frontera,18.6—27.5,14.3,10.2,22.8,53.0,40.9
2017,801+,Pontifical Catholic University of Valparaíso,8.3—18.5,14.0,10.7,13.5,51.7,45.2
2017,801+,"University of Santiago, Chile (USACH)",8.3—18.5,15.9,10.8,9.6,32.3,40.4
2017,801+,University of Talca,8.3—18.5,14.1,11.2,12.3,32.1,46.2
