year,Rank,Name,No. of FTE students,No. of students per staff,International students,Female:Male ratio
2018,501–600,Diego Portales University,"16,348",14.4,2%,48 : 52
2018,501–600,Federico Santa María Technical University,"19,265",30.3,2%,23 : 77
2018,501–600,Pontificia Universidad Católica de Chile,"27,065",15.4,7%,
2018,601–800,University of Chile,"38,848",17.2,5%,47 : 53
2018,801–1000,Universidad Andrés Bello (UNAB),"44,906",26.1,1%,52 : 48
2018,801–1000,Austral University of Chile,"14,423",16.7,2%,49 : 51
2018,801–1000,Catholic University of the North,"11,187",20.2,1%,45 : 55
2018,801–1000,University of Concepción,"26,682",17.9,1%,50 : 50
2018,801–1000,University of La Frontera,"10,157",24.7,0%,44 : 56
2018,801–1000,Pontifical Catholic University of Valparaíso,"14,953",23.1,1%,43 : 57
2018,801–1000,"University of Santiago, Chile (USACH)","23,401",21.0,1%,40 : 60
2018,801–1000,University of Talca,"10,532",24.6,1%,51 : 49
2018,801–1000,University of Valparaíso,"15,654",17.4,3%,57 : 43
