year,Rank,Name,No. of FTE students,No. of students per staff,International students,Female:Male ratio
2019,401–500,Universidad del Desarrollo,"15,925",18.0,2%,55 : 45
2019,401–500,Diego Portales University,"16,802",14.6,2%,49 : 51
2019,601–800,University of Chile,"39,345",17.1,6%,47 : 53
2019,601–800,Federico Santa María Technical University,"19,273",27.9,3%,24 : 76
2019,601–800,Pontificia Universidad Católica de Chile,"27,485",15.2,7%,
2019,801–1000,Austral University of Chile,"14,873",16.7,2%,49 : 51
2019,801–1000,University of La Frontera,"10,310",26.5,0%,44 : 56
2019,801–1000,University of Talca,"10,628",23.6,1%,52 : 48
2019,1001+,Universidad Andrés Bello (UNAB),"44,436",23.5,1%,52 : 48
2019,1001+,University of Bío-Bío,"12,893",24.7,1%,42 : 58
2019,1001+,Catholic University of the North,"11,669",20.5,2%,45 : 55
2019,1001+,University of Concepción,"27,077",17.5,1%,51 : 49
2019,1001+,Pontifical Catholic University of Valparaíso,"15,165",23.1,1%,43 : 57
2019,1001+,"University of Santiago, Chile (USACH)","24,606",25.9,2%,40 : 60
2019,1001+,University of Tarapacá,"8,857",25.0,2%,54 : 46
2019,1001+,University of Valparaíso,"16,535",17.9,3%,57 : 43
