year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
2020,401–500,Universidad del Desarrollo,38.8–42.3,13.5,8.8,99.1,36.8,48.1
2020,401–500,Diego Portales University,38.8–42.3,14.7,10.5,95.3,34.4,50.4
2020,501–600,Universidad Autónoma de Chile,35.3–38.7,12.3,8.9,81.6,34.4,50.7
2020,501–600,Pontificia Universidad Católica de Chile,35.3–38.7,24.2,28.3,48.6,64.5,57.1
2020,801–1000,University of Chile,22.2–28.2,23.2,17.1,33.9,34.5,51.2
2020,801–1000,Federico Santa María Technical University,22.2–28.2,13.6,9.8,40.2,44.9,54.5
2020,801–1000,University of La Frontera,22.2–28.2,15.1,16.0,34.0,34.5,47.9
2020,1001+,"University of the Andes, Chile",10.7–22.1,16.1,10.5,15.6,34.6,47.8
2020,1001+,Universidad Andrés Bello (UNAB),10.7–22.1,13.3,8.0,29.8,34.6,47.3
2020,1001+,Austral University of Chile,10.7–22.1,15.0,12.2,22.7,46.9,50.2
2020,1001+,University of Bío-Bío,10.7–22.1,13.2,8.4,7.9,37.3,46.6
2020,1001+,Catholic University of the North,10.7–22.1,14.8,14.2,18.9,35.6,52.9
2020,1001+,University of Concepción,10.7–22.1,15.4,11.6,19.7,56.6,48.7
2020,1001+,Pontifical Catholic University of Valparaíso,10.7–22.1,17.3,15.9,16.0,50.0,48.6
2020,1001+,"University of Santiago, Chile (USACH)",10.7–22.1,16.2,14.2,12.1,38.1,45.6
2020,1001+,University of Talca,10.7–22.1,15.3,11.2,27.5,44.7,49.5
2020,1001+,University of Tarapacá,10.7–22.1,12.7,13.7,10.8,34.4,50.2
2020,1001+,University of Valparaíso,10.7–22.1,16.7,9.7,18.4,34.5,48.7
