year,Rank,Name,No. of FTE students,No. of students per staff,International students,Female:Male ratio
2020,401–500,Universidad del Desarrollo,"15,384",19.0,4%,56 : 44
2020,401–500,Diego Portales University,"17,287",14.9,2%,49 : 51
2020,501–600,Universidad Autónoma de Chile,"23,312",26.2,1%,65 : 35
2020,501–600,Pontificia Universidad Católica de Chile,"28,541",15.0,7%,
2020,801–1000,University of Chile,"35,447",15.0,6%,47 : 53
2020,801–1000,Federico Santa María Technical University,"19,067",27.3,3%,24 : 76
2020,801–1000,University of La Frontera,"10,437",24.6,1%,49 : 51
2020,1001+,"University of the Andes, Chile","8,402",14.4,2%,59 : 41
2020,1001+,Universidad Andrés Bello (UNAB),"44,327",21.8,1%,53 : 47
2020,1001+,Austral University of Chile,"15,575",17.7,2%,50 : 50
2020,1001+,University of Bío-Bío,"12,955",24.7,1%,42 : 58
2020,1001+,Catholic University of the North,"11,871",19.6,2%,46 : 54
2020,1001+,University of Concepción,"27,640",17.4,1%,51 : 49
2020,1001+,Pontifical Catholic University of Valparaíso,"15,935",24.4,1%,42 : 58
2020,1001+,"University of Santiago, Chile (USACH)","22,818",24.3,2%,42 : 58
2020,1001+,University of Talca,"10,795",16.1,1%,48 : 52
2020,1001+,University of Tarapacá,"8,708",25.1,2%,55 : 45
2020,1001+,University of Valparaíso,"16,211",18.5,3%,59 : 41
