year,Rank,Name,No. of FTE students,No. of students per staff,International students,Female:Male ratio
2021,401–500,Universidad del Desarrollo,"15,213",18.6,3%,56 : 44
2021,401–500,Diego Portales University,"17,234",14.7,2%,49 : 51
2021,501–600,Universidad Autónoma de Chile,"24,541",23.2,1%,65 : 35
2021,501–600,Pontificia Universidad Católica de Chile,"29,071",15.1,7%,
2021,601–800,University of Antofagasta,"9,152",20.1,1%,53 : 47
2021,801–1000,University of Chile,"36,433",15.4,6%,48 : 52
2021,1001+,Adolfo Ibáñez University,"10,385",28.8,5%,38 : 62
2021,1001+,"University of the Andes, Chile","8,734",15.1,2%,59 : 41
2021,1001+,Universidad Andrés Bello (UNAB),"41,098",19.1,2%,52 : 48
2021,1001+,Austral University of Chile,"16,392",17.8,2%,51 : 49
2021,1001+,University of Bío-Bío,"13,085",25.5,1%,42 : 58
2021,1001+,Catholic University of the North,"11,567",20.0,2%,46 : 54
2021,1001+,University of Concepción,"28,176",17.2,2%,52 : 48
2021,1001+,Federico Santa María Technical University,"19,430",24.7,4%,25 : 75
2021,1001+,University of La Frontera,"10,827",23.4,1%,49 : 51
2021,1001+,Pontifical Catholic University of Valparaíso,"16,511",24.1,1%,42 : 58
2021,1001+,San Sebastián University,"17,617",9.2,0%,61 : 39
2021,1001+,"University of Santiago, Chile (USACH)","23,469",25.4,3%,43 : 57
2021,1001+,University of Talca,"11,310",15.7,1%,51 : 49
2021,1001+,University of Tarapacá,"8,703",27.4,2%,54 : 46
2021,1001+,University of Valparaíso,"16,682",18.8,4%,58 : 42
