year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
2021,401–500,Universidad del Desarrollo,39.8–43.5,14.3,9.2,99.5,35.8,49.0
2021,401–500,Diego Portales University,39.8–43.5,15.4,10.5,96.4,33.4,50.8
2021,501–600,Universidad Autónoma de Chile,36.4–39.7,13.4,9.1,84.9,33.4,50.8
2021,501–600,Pontificia Universidad Católica de Chile,36.4–39.7,25.1,30.5,55.4,77.0,57.8
2021,601–800,University of Antofagasta,30.2–36.3,14.5,8.8,69.5,33.4,49.9
2021,801–1000,University of Chile,25.1–30.1,23.6,17.0,35.1,38.3,51.9
2021,1001+,Adolfo Ibáñez University,10.3–25.0,14.8,14.6,26.5,35.4,58.6
2021,1001+,"University of the Andes, Chile",10.3–25.0,16.7,10.9,23.3,36.2,46.4
2021,1001+,Universidad Andrés Bello (UNAB),10.3–25.0,14.2,8.4,30.3,33.5,47.7
2021,1001+,Austral University of Chile,10.3–25.0,16.3,12.7,21.8,45.4,51.2
2021,1001+,University of Bío-Bío,10.3–25.0,13.7,10.8,6.1,37.1,46.2
2021,1001+,Catholic University of the North,10.3–25.0,14.6,12.3,23.7,34.3,54.1
2021,1001+,University of Concepción,10.3–25.0,16.4,12.1,23.5,56.0,49.3
2021,1001+,Federico Santa María Technical University,10.3–25.0,13.8,10.0,35.8,43.6,58.9
2021,1001+,University of La Frontera,10.3–25.0,14.9,17.7,31.9,33.9,46.9
2021,1001+,Pontifical Catholic University of Valparaíso,10.3–25.0,16.8,16.0,17.2,47.4,48.9
2021,1001+,San Sebastián University,10.3–25.0,17.8,7.6,7.5,33.4,44.0
2021,1001+,"University of Santiago, Chile (USACH)",10.3–25.0,16.0,15.3,12.2,35.9,47.4
2021,1001+,University of Talca,10.3–25.0,16.0,11.0,27.2,37.8,50.8
2021,1001+,University of Tarapacá,10.3–25.0,13.8,15.9,13.8,35.3,51.9
2021,1001+,University of Valparaíso,10.3–25.0,16.5,10.0,17.9,33.5,48.8
