year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
2022,401–500,Pontificia Universidad Católica de Chile,40.9–44.0,24.8,30.3,66.4,73.0,58.2
2022,501–600,Diego Portales University,38.1–40.8,15.6,11.0,86.2,34.8,51.4
2022,501–600,Universidad Autónoma de Chile,38.1–40.8,13.4,9.8,96.7,34.8,51.7
2022,501–600,Universidad del Desarrollo,38.1–40.8,14.9,10.1,89.4,38.0,50.4
2022,801–1000,University of Chile,27.2–31.9,23.8,18.1,36.7,40.3,50.4
2022,1001–1200,Pontifical Catholic University of Valparaíso,22.4–27.1,17.4,25.2,20.4,43.9,49.3
2022,1001–1200,University of Concepción,22.4–27.1,16.7,13.3,28.3,56.1,50.4
2022,1001–1200,University of La Frontera,22.4–27.1,15.3,19.9,30.6,34.8,49.6
2022,1001–1200,"University of the Andes, Chile",22.4–27.1,17.8,12.9,32.3,36.2,48.1
2022,1201+,Adolfo Ibáñez University,10.6–22.3,15.5,15.1,25.1,36.6,59.6
2022,1201+,Austral University of Chile,10.6–22.3,16.3,13.8,24.9,45.8,51.7
2022,1201+,Catholic University of the North,10.6–22.3,15.1,12.4,25.4,34.9,54.4
2022,1201+,Federico Santa María Technical University,10.6–22.3,14.3,12.0,28.7,41.3,56.1
2022,1201+,San Sebastián University,10.6–22.3,17.5,8.0,8.8,34.8,43.6
2022,1201+,Universidad Andrés Bello (UNAB),10.6–22.3,14.9,8.9,33.1,35.0,48.1
2022,1201+,University of Bío-Bío,10.6–22.3,14.2,9.8,9.3,34.8,47.8
2022,1201+,"University of Santiago, Chile (USACH)",10.6–22.3,16.2,15.7,12.7,37.2,47.0
2022,1201+,University of Talca,10.6–22.3,16.4,11.8,25.5,36.0,52.9
2022,1201+,University of Tarapacá,10.6–22.3,14.5,17.0,17.8,34.9,51.4
2022,1201+,University of Valparaíso,10.6–22.3,15.5,10.9,19.3,35.0,49.2
2022,Reporter,Arturo Prat University,n/a,n/a,n/a,n/a,n/a,n/a
2022,Reporter,Bernardo O’Higgins University,n/a,n/a,n/a,n/a,n/a,n/a
2022,Reporter,Finis Terrae University,n/a,n/a,n/a,n/a,n/a,n/a
2022,Reporter,Temuco Catholic University,n/a,n/a,n/a,n/a,n/a,n/a
2022,Reporter,Universidad Católica de la Santísima Concepción,n/a,n/a,n/a,n/a,n/a,n/a
2022,Reporter,Universidad Mayor,n/a,n/a,n/a,n/a,n/a,n/a
2022,Reporter,University of La Serena,n/a,n/a,n/a,n/a,n/a,n/a
2022,Reporter,University of Los Lagos,n/a,n/a,n/a,n/a,n/a,n/a
