year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
2023,401–500,Pontificia Universidad Católica de Chile,42.1–44.9,24.2,31.9,66.2,70.3,56.2
2023,601–800,Universidad del Desarrollo,34.0–39.2,15.0,10.1,73.8,39.6,50.6
2023,601–800,University of Antofagasta,34.0–39.2,14.8,9.5,81.0,36.9,52.4
2023,801–1000,Diego Portales University,29.8–33.9,15.4,11.1,69.5,36.9,52.1
2023,801–1000,Universidad Autónoma de Chile,29.8–33.9,13.2,10.2,72.4,36.9,49.7
2023,801–1000,University of La Serena,29.8–33.9,12.7,9.3,65.6,36.9,48.0
2023,1001–1200,University of Chile,24.4–29.7,22.6,18.6,37.1,41.7,51.2
2023,1201–1500,Adolfo Ibáñez University,18.4–24.3,15.6,17.2,20.0,38.1,60.4
2023,1201–1500,Austral University of Chile,18.4–24.3,16.5,14.4,24.0,44.4,51.4
2023,1201–1500,Catholic University of the North,18.4–24.3,14.3,17.0,27.4,38.2,57.1
2023,1201–1500,Federico Santa María Technical University,18.4–24.3,14.0,12.0,27.3,39.4,54.8
2023,1201–1500,Pontifical Catholic University of Valparaíso,18.4–24.3,16.6,18.1,21.4,47.4,50.0
2023,1201–1500,Universidad Andrés Bello (UNAB),18.4–24.3,14.3,9.4,29.8,37.8,50.4
2023,1201–1500,University of Concepción,18.4–24.3,16.4,14.0,30.1,49.9,50.7
2023,1201–1500,University of La Frontera,18.4–24.3,16.0,12.9,28.8,37.1,49.7
2023,1201–1500,"University of Santiago, Chile (USACH)",18.4–24.3,16.6,16.1,14.6,37.6,46.6
2023,1201–1500,University of Talca,18.4–24.3,17.0,11.9,25.3,38.3,52.3
2023,1201–1500,University of Tarapacá,18.4–24.3,14.7,18.2,23.6,37.2,52.6
2023,1201–1500,"University of the Andes, Chile",18.4–24.3,17.8,14.3,28.0,40.2,48.1
2023,1501+,San Sebastián University,10.4–18.3,17.1,8.1,8.9,36.9,41.6
2023,1501+,Temuco Catholic University,10.4–18.3,16.0,10.1,7.9,38.3,41.5
2023,1501+,University of Bío-Bío,10.4–18.3,13.8,8.5,8.1,37.0,46.3
2023,1501+,University of Valparaíso,10.4–18.3,15.5,11.4,18.6,37.0,47.8
2023,Reporter,Bernardo O’Higgins University,n/a,n/a,n/a,n/a,n/a,n/a
2023,Reporter,Universidad Mayor,n/a,n/a,n/a,n/a,n/a,n/a
2023,Reporter,University of Los Lagos,n/a,n/a,n/a,n/a,n/a,n/a
