year,Rank,Name,No. of FTE students,No. of students per staff,International students,Female:Male ratio
2024,401–500,Pontificia Universidad Católica de Chile,"30,448",15.0,3%,
2024,801–1000,University of Chile,"39,510",16.4,5%,51 : 49
2024,1001–1200,Diego Portales University,"18,126",17.6,2%,50 : 50
2024,1001–1200,Universidad Autónoma de Chile,"30,336",25.5,1%,65 : 35
2024,1001–1200,Universidad del Desarrollo,"16,638",14.4,4%,57 : 43
2024,1201–1500,Adolfo Ibáñez University,"10,606",25.0,5%,38 : 62
2024,1201–1500,Austral University of Chile,"18,594",16.4,1%,54 : 46
2024,1201–1500,Federico Santa María Technical University,"22,812",29.7,3%,24 : 76
2024,1201–1500,Pontifical Catholic University of Valparaíso,"18,104",26.2,1%,43 : 57
2024,1201–1500,University of Antofagasta,"8,563",15.9,2%,55 : 45
2024,1201–1500,University of Concepción,"30,174",18.2,2%,53 : 47
2024,1201–1500,University of La Frontera,"12,157",23.2,1%,51 : 49
2024,1201–1500,University of La Serena,"8,170",26.4,1%,51 : 49
2024,1201–1500,University of Talca,"12,510",15.5,0%,48 : 52
2024,1201–1500,University of Tarapacá,"10,496",31.8,4%,54 : 46
2024,1201–1500,"University of the Andes, Chile","9,711",17.9,2%,66 : 34
2024,1501+,Bernardo O’Higgins University,"9,010",18.6,6%,68 : 32
2024,1501+,Catholic University of the North,"11,528",20.3,3%,46 : 54
2024,1501+,San Sebastián University,"38,101",19.8,0%,63 : 37
2024,1501+,Temuco Catholic University,"10,775",11.1,0%,61 : 39
2024,1501+,Universidad Andrés Bello (UNAB),"46,249",18.4,2%,53 : 47
2024,1501+,Universidad Católica de la Santísima Concepción,"9,879",22.9,0%,56 : 44
2024,1501+,Universidad Católica del Maule,"10,891",21.1,3%,58 : 42
2024,1501+,Universidad Mayor,"22,644",12.1,1%,48 : 52
2024,1501+,University of Bío-Bío,"12,662",25.5,1%,43 : 57
2024,1501+,University of Los Lagos,"5,995",17.4,0%,60 : 40
2024,1501+,"University of Santiago, Chile (USACH)","24,717",20.8,2%,45 : 55
2024,1501+,University of Valparaíso,"16,627",19.0,2%,58 : 42
2024,Reporter,Arturo Prat University,"11,532",22.9,7%,57 : 43
2024,Reporter,Finis Terrae University,"10,313",8.4,2%,60 : 40
2024,Reporter,Universidad Santo Tomás,"27,382",22.4,1%,68 : 32
2024,Reporter,University of Magallanes,"4,235",15.6,1%,62 : 38
