year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
2024,401–500,Pontificia Universidad Católica de Chile,45.4–49.0,29.7,34.3,67.6,84.7,57.9
2024,801–1000,University of Chile,32.7–36.9,25.9,19.8,50.5,57.4,52.9
2024,1001–1200,Diego Portales University,28.3–32.6,15.3,11.8,53.8,18.0,53.0
2024,1001–1200,Universidad Autónoma de Chile,28.3–32.6,12.5,12.2,54.5,16.1,55.4
2024,1001–1200,Universidad del Desarrollo,28.3–32.6,17.8,10.8,53.0,21.2,52.2
2024,1201–1500,Adolfo Ibáñez University,22.8–28.2,14.8,17.4,39.2,17.1,64.1
2024,1201–1500,Austral University of Chile,22.8–28.2,17.3,14.7,30.2,30.9,51.4
2024,1201–1500,Federico Santa María Technical University,22.8–28.2,12.3,10.8,36.2,32.3,56.9
2024,1201–1500,Pontifical Catholic University of Valparaíso,22.8–28.2,15.8,17.1,32.8,38.1,51.1
2024,1201–1500,University of Antofagasta,22.8–28.2,16.9,9.4,51.7,17.2,53.2
2024,1201–1500,University of Concepción,22.8–28.2,17.3,16.4,38.2,44.6,52.0
2024,1201–1500,University of La Frontera,22.8–28.2,17.6,12.3,32.7,22.8,51.3
2024,1201–1500,University of La Serena,22.8–28.2,12.3,9.9,49.2,16.4,50.4
2024,1201–1500,University of Talca,22.8–28.2,17.4,13.7,31.5,36.7,52.3
2024,1201–1500,University of Tarapacá,22.8–28.2,12.4,19.0,45.1,19.4,59.0
2024,1201–1500,"University of the Andes, Chile",22.8–28.2,20.6,15.7,30.1,17.2,50.0
2024,1501+,Bernardo O’Higgins University,9.7–22.7,13.9,10.3,10.7,20.9,54.0
2024,1501+,Catholic University of the North,9.7–22.7,14.2,15.2,29.0,18.2,58.0
2024,1501+,San Sebastián University,9.7–22.7,14.2,9.2,12.1,16.1,43.2
2024,1501+,Temuco Catholic University,9.7–22.7,19.8,10.5,12.7,23.9,43.1
2024,1501+,Universidad Andrés Bello (UNAB),9.7–22.7,15.1,10.4,33.5,20.7,50.6
2024,1501+,Universidad Católica de la Santísima Concepción,9.7–22.7,13.2,14.9,22.9,16.9,48.9
2024,1501+,Universidad Católica del Maule,9.7–22.7,13.4,13.4,19.3,15.8,57.5
2024,1501+,Universidad Mayor,9.7–22.7,18.6,9.1,28.7,16.0,49.5
2024,1501+,University of Bío-Bío,9.7–22.7,12.9,12.8,13.9,19.1,46.7
2024,1501+,University of Los Lagos,9.7–22.7,15.9,14.1,25.8,16.0,49.5
2024,1501+,"University of Santiago, Chile (USACH)",9.7–22.7,15.8,15.4,29.8,27.7,45.9
2024,1501+,University of Valparaíso,9.7–22.7,15.4,12.2,22.0,18.7,47.8
2024,Reporter,Arturo Prat University,n/a,n/a,n/a,n/a,n/a,n/a
2024,Reporter,Finis Terrae University,n/a,n/a,n/a,n/a,n/a,n/a
2024,Reporter,Universidad Santo Tomás,n/a,n/a,n/a,n/a,n/a,n/a
2024,Reporter,University of Magallanes,n/a,n/a,n/a,n/a,n/a,n/a
