year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
2025,501–600,Pontificia Universidad Católica de Chile,43.3–45.9,29.3,35.2,61.6,74.4,58.5
2025,1001–1200,University of Chile,30.7–34.4,25.6,21.3,48.3,55.8,49.6
2025,1201–1500,Adolfo Ibáñez University,25.2–30.6,15.3,17.0,41.8,21.8,63.2
2025,1201–1500,Diego Portales University,25.2–30.6,15.8,11.9,53.8,18.4,54.3
2025,1201–1500,Universidad Autónoma de Chile,25.2–30.6,12.5,14.2,44.0,19.2,55.7
2025,1201–1500,Universidad del Desarrollo,25.2–30.6,17.4,11.7,50.6,22.1,52.2
2025,1201–1500,University of Antofagasta,25.2–30.6,18.5,9.5,43.5,17.4,53.6
2025,1201–1500,University of Concepción,25.2–30.6,18.2,17.0,38.5,48.0,51.3
2025,1201–1500,University of La Serena,25.2–30.6,12.9,9.4,54.3,16.6,50.0
2025,1201–1500,University of Tarapacá,25.2–30.6,11.3,21.3,48.2,19.9,56.2
2025,1501+,Alberto Hurtado University,10.5–25.1,13.8,14.7,22.2,15.7,37.3
2025,1501+,Austral University of Chile,10.5–25.1,15.6,15.3,29.1,32.6,53.4
2025,1501+,Bernardo O’Higgins University,10.5–25.1,13.8,10.5,12.8,22.3,53.3
2025,1501+,Catholic University of the North,10.5–25.1,13.7,15.2,30.4,25.1,59.5
2025,1501+,Federico Santa María Technical University,10.5–25.1,12.7,11.8,33.8,38.1,55.6
2025,1501+,Pontifical Catholic University of Valparaíso,10.5–25.1,15.4,17.2,31.0,43.0,51.4
2025,1501+,Temuco Catholic University,10.5–25.1,20.8,10.5,13.8,19.5,43.7
2025,1501+,Universidad Andrés Bello (UNAB),10.5–25.1,15.3,10.7,34.7,24.6,51.4
2025,1501+,Universidad Católica de la Santísima Concepción,10.5–25.1,14.0,21.0,27.2,17.1,48.6
2025,1501+,Universidad Católica del Maule,10.5–25.1,13.2,14.9,22.9,16.4,54.8
2025,1501+,Universidad Mayor,10.5–25.1,18.7,9.0,31.8,16.4,49.0
2025,1501+,Universidad Santo Tomás,10.5–25.1,13.1,9.8,12.5,16.0,45.5
2025,1501+,University of Bío-Bío,10.5–25.1,13.7,11.2,14.5,23.8,46.8
2025,1501+,University of La Frontera,10.5–25.1,17.7,12.6,33.1,23.5,49.0
2025,1501+,University of Los Lagos,10.5–25.1,15.8,14.9,24.1,16.8,49.9
2025,1501+,"University of Santiago, Chile (USACH)",10.5–25.1,16.0,15.1,27.5,28.1,46.5
2025,1501+,University of Talca,10.5–25.1,18.1,14.2,33.4,34.4,52.1
2025,1501+,"University of the Andes, Chile",10.5–25.1,20.8,15.3,31.1,20.9,48.7
2025,1501+,University of Valparaíso,10.5–25.1,16.5,12.5,21.9,18.9,46.7
2025,Reporter,Arturo Prat University,n/a,n/a,n/a,n/a,n/a,n/a
2025,Reporter,Finis Terrae University,n/a,n/a,n/a,n/a,n/a,n/a
2025,Reporter,University of Magallanes,n/a,n/a,n/a,n/a,n/a,n/a
