year,Rank,Name,No. of FTE students,No. of students per staff,International students,Female:Male ratio
2026,401–500,Pontificia Universidad Católica de Chile,"28,373",13.8,6%,
2026,1001–1200,University of Chile,"42,010",17.3,3%,49 : 51
2026,1001–1200,University of Tarapacá,"10,738",29.9,3%,54 : 46
2026,1201–1500,Adolfo Ibáñez University,"10,615",20.9,5%,38 : 62
2026,1201–1500,Diego Portales University,"18,505",17.1,3%,50 : 50
2026,1201–1500,Universidad del Desarrollo,"17,491",17.7,4%,57 : 43
2026,1201–1500,University of Concepción,"29,870",17.0,2%,52 : 48
2026,1201–1500,University of La Frontera,"11,481",20.2,1%,50 : 50
2026,1201–1500,University of La Serena,"7,657",22.4,1%,50 : 50
2026,1501+,Alberto Hurtado University,"7,276",22.0,2%,58 : 42
2026,1501+,Austral University of Chile,"18,781",19.1,1%,55 : 45
2026,1501+,Bernardo O’Higgins University,"9,085",17.7,2%,66 : 34
2026,1501+,Catholic University of the North,"11,793",19.9,4%,47 : 53
2026,1501+,Federico Santa María Technical University,"19,907",27.1,2%,26 : 74
2026,1501+,Pontifical Catholic University of Valparaíso,"18,070",23.2,2%,43 : 57
2026,1501+,Temuco Catholic University,"10,711",10.1,0%,61 : 39
2026,1501+,Universidad Andrés Bello (UNAB),"49,719",17.8,3%,55 : 45
2026,1501+,Universidad Autónoma de Chile,"30,410",26.8,1%,64 : 36
2026,1501+,Universidad Católica de la Santísima Concepción,"9,954",23.7,1%,56 : 44
2026,1501+,Universidad Católica del Maule,"12,490",20.4,1%,53 : 47
2026,1501+,Universidad Mayor,"23,839",11.5,1%,55 : 45
2026,1501+,Universidad Santo Tomás,"26,783",21.2,0%,68 : 32
2026,1501+,University of Antofagasta,"7,763",10.1,3%,57 : 43
2026,1501+,University of Bío-Bío,"11,435",22.9,1%,43 : 57
2026,1501+,University of Los Lagos,"6,923",19.0,0%,62 : 38
2026,1501+,"University of Santiago, Chile (USACH)","26,506",20.0,4%,45 : 55
2026,1501+,University of Talca,"11,543",12.7,2%,51 : 49
2026,1501+,"University of the Andes, Chile","10,398",17.7,2%,56 : 44
2026,1501+,University of Valparaíso,"16,514",17.9,3%,58 : 42
2026,Reporter,Arturo Prat University,"9,977",22.2,6%,59 : 41
2026,Reporter,Finis Terrae University,"10,227",9.0,4%,60 : 40
