year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
2016,3,Pontificia Universidad Católica de Chile,80.2,70.6,83.6,93.2,38.3,90.4
2016,4,University of Chile,75.4,69.5,76.8,88.6,32.7,76.0
2016,13,Federico Santa María Technical University,58.7,39.2,53.1,99.8,40.5,74.4
2016,14,University of Concepción,58.5,43.5,63.5,73.1,69.7,65.2
2016,17,Austral University of Chile,52.8,44.3,52.2,62.4,51.1,70.9
2016,19,"University of Santiago, Chile (USACH)",52.5,50.6,58.3,49.7,33.1,49.6
2016,24,University of Talca,46.1,41.1,47.7,52.1,32.7,50.8
2016,26–30,Pontifical Catholic University of Valparaíso,40.2–44.2,21.4,50.7,50.2,63.0,64.3
2016,26–30,University of La Frontera,40.2–44.2,34.1,29.8,69.3,64.9,31.0
2016,36–40,Diego Portales University,31.1–35.0,28.4,22.1,62.4,33.8,52.8
2016,41–45,Universidad del Desarrollo,28.0–29.9,29.2,26.5,25.7,32.7,34.0
