year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook,rank_prefix
2024,4,Pontificia Universidad Católica de Chile,82.5,72.1,96.5,88.1,74.1,58.8,
2024,9,University of Chile,77.0,72.4,88.9,79.6,55.5,49.7,
2024,30,"University of Santiago, Chile (USACH)",58.2,45.9,78.8,55.8,27.9,46.3,
2024,32,"University of the Andes, Chile",57.7,55.5,70.2,51.3,20.9,48.1,
2024,33,University of Concepción,57.3,47.8,69.7,57.1,47.9,51.6,
2024,39,Pontifical Catholic University of Valparaíso,53.3,39.7,63.5,62.4,42.9,52.0,
2024,51,Adolfo Ibáñez University,48.4,31.6,52.3,70.8,21.7,63.7,
2024,53,Universidad Autónoma de Chile,48.0,34.5,58.3,57.0,19.1,56.1,
2024,58,Austral University of Chile,46.1,33.5,53.2,56.2,32.5,53.7,
2024,63,Federico Santa María Technical University,45.0,28.4,51.2,60.5,37.9,56.4,
2024,64,Universidad Católica de la Santísima Concepción,44.8,34.0,55.7,49.5,17.1,49.0,
2024,67,University of La Frontera,42.8,34.7,47.8,49.8,23.4,49.2,=
2024,72,University of Tarapacá,41.9,22.7,47.0,66.0,19.8,56.9,
2024,73,Universidad Andrés Bello (UNAB),41.7,37.5,36.8,56.9,24.6,51.8,=
2024,80,University of Talca,40.3,26.9,40.9,59.1,34.2,52.6,=
2024,85,Alberto Hurtado University,38.9,29.9,50.6,40.4,15.7,36.6,
2024,88,Catholic University of the North,38.5,21.9,42.7,55.1,25.1,60.2,=
2024,90,University of Valparaíso,38.3,29.0,46.2,42.3,18.9,46.3,
2024,91,Diego Portales University,38.2,29.3,34.3,58.3,18.4,54.6,
2024,92,Universidad del Desarrollo,38.1,27.7,37.5,55.7,22.0,51.9,
2024,96,Universidad Católica del Maule,36.7,22.8,43.1,47.7,16.4,55.0,
2024,101–125,University of Bío-Bío,29.3–35.3,32.1,34.8,30.9,23.8,46.5,
2024,101–125,University of Los Lagos,29.3–35.3,21.4,37.4,49.0,16.8,50.3,
2024,126–150,Temuco Catholic University,24.7–29.1,27.0,21.7,27.0,19.5,43.4,
2024,126–150,University of Antofagasta,24.7–29.1,25.9,19.9,42.8,17.4,54.2,
2024,126–150,University of La Serena,24.7–29.1,19.5,19.9,43.8,16.6,50.7,
2024,126–150,University of Magallanes,24.7–29.1,20.2,17.8,43.8,26.7,53.0,
2024,151+,Arturo Prat University,13.2–24.5,21.0,20.6,20.9,18.0,48.4,
2024,151+,Bernardo O’Higgins University,13.2–24.5,19.9,19.2,27.5,22.3,53.2,
2024,151+,Finis Terrae University,13.2–24.5,22.5,12.4,29.5,15.8,46.7,
2024,151+,Universidad Mayor,13.2–24.5,21.1,14.0,39.3,16.4,49.1,
2024,151+,Universidad Santo Tomás,13.2–24.5,17.4,18.4,21.6,16.0,45.3,
