autor,publicaciones,total_citaciones,cit_promedio,max_citaciones,h_index,g_index
Emmanuel N. Saridakis,62,5951,95.98,1344,37,62
Andrés Illanes,165,5557,33.68,266,41,67
Ali Övgün,71,3882,54.68,235,37,62
Rolando Chamy,101,3568,35.33,547,33,57
Víctor Leiva,192,3372,17.56,127,32,46
Broderick Crawford,357,3302,9.25,177,28,41
Ricardo Soto,326,3216,9.87,177,29,42
Fanny Guzmán,199,3102,15.59,212,31,47
Lorena Wilson,107,2972,27.78,266,31,51
Günter Försterra,50,2819,56.38,1776,19,50
Gonzalo Ruíz-Filippi,45,2775,61.67,547,24,45
Ricardo Schrebler,124,2745,22.14,131,32,47
Luís Mercado,156,2733,17.52,147,31,44
Carlos Cristi‐Montero,162,2652,16.37,197,29,46
H. Gómez,87,2648,30.44,214,29,49
Nicolás Tejos,70,2566,36.66,553,22,50
Claudia Altamirano,103,2557,24.83,176,33,47
Ramón Herrera,111,2551,22.98,136,31,46
David Jeison,63,2479,39.35,547,23,49
Enrique A. Dalchiele,87,2386,27.43,214,28,45
Sergio H. Marshall,98,2260,23.06,164,28,44
Romina Pedreschi,120,2254,18.78,107,28,39
Cristián Rusu,121,2201,18.19,259,22,43
Shivani Bhandari,25,2192,87.68,553,15,25
Alexander Neaman,102,2152,21.1,95,28,40
J. X. Prochaska,45,2135,47.44,553,19,45
Fernando Rodríguez‐Rodríguez,138,2116,15.33,191,24,39
Joseph N. Burchett,16,2053,128.31,1019,14,16
Joel Saavedra,82,1965,23.96,210,26,41
Adam T. Deller,26,1939,74.58,553,15,26
Cecilia Guerrero,62,1901,30.66,156,26,43
Germán Aroca,75,1894,25.25,256,24,41
Claudia Mellado,67,1889,28.19,295,21,42
Juan G. Reyes,58,1879,32.4,224,25,42
Carlos Vera,64,1847,28.86,156,25,42
Verena Häussermann,88,1831,20.81,197,24,39
Luciano Zunino,36,1814,50.39,300,19,36
Darı́o G. Pérez,59,1811,30.69,300,19,42
Sérgio del Campo,72,1802,25.03,135,26,41
Susan C. Baker,1,1776,1776.0,1776,1,1
Stuart Banks,1,1776,1776.0,1776,1,1
Elisabeth M. A. Strain,1,1776,1776.0,1776,1,1
Stuart Kininmonth,1,1776,1776.0,1776,1,1
Alejo J. Irigoyen,1,1776,1776.0,1776,1,1
Mikel A. Becerro,1,1776,1776.0,1776,1,1
Stuart Campbell,1,1776,1776.0,1776,1,1
Sophie C. Edgar,1,1776,1776.0,1776,1,1
Russell Thomson,1,1776,1776.0,1776,1,1
Graham J. Edgar,1,1776,1776.0,1776,1,1
Antonia T. Cooper,1,1776,1776.0,1776,1,1
Germán Soler,1,1776,1776.0,1776,1,1
Rick D. Stuart‐Smith,1,1776,1776.0,1776,1,1
Rodrigo L. Moura,1,1776,1776.0,1776,1,1
NS Barrett,1,1776,1776.0,1776,1,1
Anthony T.F. Bernard,1,1776,1776.0,1776,1,1
J.A.A. Berkhout,1,1776,1776.0,1776,1,1
CD Buxton,1,1776,1776.0,1776,1,1
P. Ed Parnell,1,1776,1776.0,1776,1,1
David E. Galván,1,1776,1776.0,1776,1,1
David J. Kushner,1,1776,1776.0,1776,1,1
Nick T. Shears,1,1776,1776.0,1776,1,1
Trevor J. Willis,1,1776,1776.0,1776,1,1
Marlene Davey,1,1776,1776.0,1776,1,1
Carolina Manzur,77,1764,22.91,379,21,38
R. M. Shannon,25,1761,70.44,553,15,25
S. D. Ryder,25,1737,69.48,553,15,25
Eduardo González‐Olivares,71,1725,24.3,294,20,40
Cristobál Sifón,77,1705,21.86,142,22,39
Nelson Silva,49,1701,34.71,243,23,41
David Carrillo,76,1695,22.3,379,21,38
Salvatore Capozzıello,5,1660,332.0,1344,4,5
Osvaldo A. Rosso,20,1656,82.8,300,17,20
Léa Cabrol,19,1633,85.95,817,12,19
Fernando Paredes,110,1622,14.75,177,20,35
Cherie K. Day,11,1599,145.36,553,11,11
Rodrigo F. Herrera,96,1582,16.48,204,21,37
Ariel A. Muñoz,56,1581,28.23,213,23,39
