alias,fuente,nombre_universidad
Pontificia Universidad Catolica de Chile,base,Pontificia Universidad Catolica de Chile
Pontificia Universidad Catolica de Valparaiso,base,Pontificia Universidad Catolica de Valparaiso
Universidad ARCIS,base,Universidad ARCIS
Universidad Academia de Humanismo Cristiano,base,Universidad Academia de Humanismo Cristiano
Universidad Adolfo Ibanez,base,Universidad Adolfo Ibanez
Universidad Adventista de Chile,base,Universidad Adventista de Chile
Universidad Alberto Hurtado,base,Universidad Alberto Hurtado
Universidad Andres Bello,base,Universidad Andres Bello
Universidad Arturo Prat,base,Universidad Arturo Prat
Universidad Austral de Chile,base,Universidad Austral de Chile
Universidad Autonoma de Chile,base,Universidad Autonoma de Chile
Universidad Bernardo O'Higgins,base,Universidad Bernardo O'Higgins
Universidad Bolivariana de Chile,base,Universidad Bolivariana de Chile
Universidad Catolica Cardenal Raul Silva Henriquez,base,Universidad Catolica Cardenal Raul Silva Henriquez
Universidad Catolica de Temuco,base,Universidad Catolica de Temuco
Universidad Catolica de la Santisima Concepcion,base,Universidad Catolica de la Santisima Concepcion
Universidad Catolica del Maule,base,Universidad Catolica del Maule
Universidad Catolica del Norte,base,Universidad Catolica del Norte
Universidad Central de Chile,base,Universidad Central de Chile
Universidad Diego Portales,base,Universidad Diego Portales
Universidad Finis Terrae,base,Universidad Finis Terrae
Universidad Gabriela Mistral,base,Universidad Gabriela Mistral
Universidad Iberoamericana de Ciencias y Tecnologia,base,Universidad Iberoamericana de Ciencias y Tecnologia
Universidad Internacional SEK Chile,base,Universidad Internacional SEK Chile
Universidad La Republica,base,Universidad La Republica
Universidad Los Leones,base,Universidad Los Leones
Universidad Mayor,base,Universidad Mayor
Universidad Metropolitana de Ciencias de la Educacion,base,Universidad Metropolitana de Ciencias de la Educacion
Universidad Miguel de Cervantes,base,Universidad Miguel de Cervantes
Universidad Pedro de Valdivia,base,Universidad Pedro de Valdivia
Universidad San Sebastian,base,Universidad San Sebastian
Universidad Santo Tomas,base,Universidad Santo Tomas
Universidad Tecnica Federico Santa Maria,base,Universidad Tecnica Federico Santa Maria
Universidad Tecnologica Metropolitana,base,Universidad Tecnologica Metropolitana
Universidad Tecnologica de Chile,base,Universidad Tecnologica de Chile
Universidad UNIACC,base,Universidad UNIACC
Universidad Ucinf,base,Universidad Ucinf
Universidad de Antofagasta,base,Universidad de Antofagasta
